,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2023-10-01,1,Perus,Inativo Intransitável,00:44,13:00,:44 a 13:00Rua Francis de Castelnau, AMBOS, Rua Bernardo José de Lorena
1,2023-10-01,1,Sé,Inativo Transitável,01:18,01:29,R ROBERTO SIMONSEN, UNICO, R FLORIANO PEIXOTO
2,2023-10-01,1,Sé,Inativo Intransitável,03:06,03:58,PA DO PIQUES, CENTRO/BAIRRO, PA DO PIQUES
3,2023-10-01,1,Butantã,Inativo Transitável,13:12,15:37,AV MORVAN DIAS DE FIGUEIREDO, A SENNA/CASTELO B, VD DOMINGOS FRANCIULLI NETTO
4,2023-10-01,1,Butantã,Inativo Transitável,18:09,18:16,AV MORVAN DIAS DE FIGUEIREDO, A SENNA/CASTELO B, VD DOMINGOS FRANCIULLI NETTO
5,2023-10-01,1,Pinheiros,Inativo Intransitável,03:08,04:11,AV REBOUCAS, AMBOS, AV BRASIL
6,2023-10-01,1,Pinheiros,Inativo Intransitável,13:54,18:16,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO, R OLIVIA FEDER
7,2023-10-01,1,Ermelino Matarazzo,Inativo Intransitável,07:06,12:42,R DR LUIZ AYRES, CENTRO/BAIRRO, R TOMAZZO FERRARA
8,2023-10-01,1,Itaquera,Inativo Intransitável,03:51,04:43,R ITAGIMIRIM, AMBOS, R PDE VIEGAS DE MENEZES
9,2023-10-01,1,Mooca,Inativo Intransitável,03:23,04:43,AV ALCANTARA MACHADO, CENTRO/BAIRRO, R DR FOMM
10,2023-10-01,1,Mooca,Inativo Intransitável,03:35,04:43,AV ALCANTARA MACHADO, BAIRRO/CENTRO, R SILVA JARDIM
11,2023-10-01,1,Penha,Inativo Intransitável,06:50,12:39,R PDE BENEDITO DE CAMARGO, UNICO, R UMBO
12,2023-10-01,1,Penha,Inativo Intransitável,07:35,20:44,CV ARIETA CALFAT KHOURY FARAH, BAIRRO/CENTRO, AV ITAQUERA
13,2023-10-01,1,Penha,Inativo Intransitável,07:43,12:39,R UMBO, NAO INFORMADO, AV CELSO GARCIA
14,2023-10-01,1,Penha,Inativo Transitável,08:01,17:48,R BAIXO GUANDU, BAIRRO/CENTRO, R MOE
15,2023-10-01,1,Penha,Inativo Transitável,08:07,16:45,AV GOV CARVALHO PINTO, BAIRRO/CENTRO, R MERCEDES LOPES
16,2023-10-01,1,Penha,Inativo Intransitável,08:18,16:45,AV GOV CARVALHO PINTO, BAIRRO/CENTRO, R CEL MEIRELES
17,2023-10-01,1,Penha,Inativo Transitável,09:33,20:45,AV GIOVANNI GIUSTI, CENTRO/BAIRRO, VD MILTON LEAO
18,2023-10-01,1,Santo Amaro,Inativo Transitável,10:13,14:46,AV STO AMARO, AMBOS, AV PROF VICENTE RAO
19,2023-10-01,1,Santo Amaro,Inativo Transitável,14:23,18:17,R PDE JOSE DE ANCHIETA, BAIRRO/CENTRO, R CERQUEIRA CESAR
20,2023-10-01,1,Ipiranga,Inativo Transitável,12:04,14:59,R PRES BATISTA PEREIRA, AMBOS, AV DO ESTADO
21,2023-10-02,1,Ipiranga,Inativo Transitável,00:22,07:24,R PRES BATISTA PEREIRA, AMBOS, AV DO ESTADO
22,2023-10-04,1,Itaquera,Inativo Transitável,17:21,17:51,AV S.C. CORINTHIANS PAULISTA, CENTRO/BAIRRO, R CASTELO DO PIAUI
23,2023-10-04,1,Mooca,Inativo Transitável,16:47,17:09,AV ALCANTARA MACHADO, CENTRO/BAIRRO, AV ALVARO RAMOS
24,2023-10-05,1,Casa Verde,Inativo Intransitável,05:08,05:45,AV ANTONIO MUNHOZ BONILHA, AMBOS, R CORREIA DE SA
25,2023-10-05,1,Sé,Inativo Transitável,06:02,09:25,AV MERCURIO, BAIRRO/CENTRO, PC S VITO
26,2023-10-05,1,Sé,Inativo Transitável,06:21,06:51,AV CRUZEIRO DO SUL, SANTANA/IPIRANGA, R TAPAJOS
27,2023-10-05,1,Sé,Inativo Transitável,06:32,09:20,VEL PRES JOAO GOULART, B/C, AV PACAEMBU
28,2023-10-05,1,Sé,Inativo Transitável,06:48,07:57,AV FRANCISCO MATARAZZO, PENHA/LAPA, AC A VEL PRES ARTHUR DA C E SILVA (SANTA CECILIA)
29,2023-10-05,1,Sé,Inativo Transitável,07:50,09:18,AV DO ESTADO, AEROPORTO/SANTANA, R GUAPORE
30,2023-10-05,1,Lapa,Inativo Transitável,05:12,09:18,PTE FREGUESIA DO O P N RODRIGUES, CASTELO B/A SENNA, PTE JULIO DE MESQUITA NETO
31,2023-10-05,1,Lapa,Inativo Transitável,06:03,06:26,R CARDOSO DE ALMEIDA, UNICO, R DR CANDIDO ESPINHEIRA
