,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2021-10-03,1,Sé,Inativo Transitável,13:04,13:38,TV. S. JOAO PAULOII, SANTANA/AEROPORTO, ALTURA DO Nº 10
1,2021-10-03,1,Sé,Inativo Transitável,13:13,13:41,AV. VINTE E TRÊS DE MAIO, SANTANA/AEROPORTO, ALTURA DO Nº 100
2,2021-10-03,1,Sé,Inativo Transitável,13:40,18:47,AV. DO ESTADO, IPIRANGA/SANTANA, R. MAUA
3,2021-10-03,1,Sé,Inativo Transitável,14:09,20:35,AV. MERCURIO, ÚNICO, PÇ. SÃO VITO
4,2021-10-03,1,Itaquera,Inativo Transitável,16:33,23:50,AV. JOSÉ PINHEIROS BORGES, AMBOS, VD. PREF.JPSÉ CARLOS DE F. FERRAZ
5,2021-10-11,1,Sé,Inativo Transitável,16:59,18:02,AV. RIO BRANCO, BAIRRO/CENTRO, RUA GAL. OSÓRIO
6,2021-10-12,1,Butantã,Inativo Transitável,17:55,18:43,AV.ENG BILLINGS - MARG. PINHEIROS - LOCAL, CASTELO/INTERLAGOS, AV. DRACENA
7,2021-10-12,1,Itaquera,Inativo Transitável,17:10,23:50,"AV. JOSE PINHEIRO BORGES, 1000", AMBOS, AV. JACÚ PESSEGO N. TRABALHADORES
8,2021-10-14,1,Sé,Inativo Transitável,18:41,19:30,AV. RIO BRANCO, BAIRRO/CENTRO, AV. DUQUE DE CAXIAS
9,2021-10-14,1,Butantã,Inativo Transitável,18:54,19:28,AV. MAGALHAES DE CASTRO, CASTELO/INTERLAGOS, PTE. ENG ARY TORRES
10,2021-10-14,1,Itaquera,Inativo Transitável,19:57,23:50,AV. JOSE PINHEIRO BORGES, BAIRRO/CENTRO, RUA PROF BRITO MACHADO
11,2021-10-15,1,Sé,Inativo Transitável,18:42,18:58,VEL.PRES JOÃO GOULART, AMBOS, AV. PACAEMBU
12,2021-10-15,1,Sé,Inativo Transitável,18:45,19:39,AV. SÃO JOÃO, BAIRRO/CENTRO, AL. GLETE
13,2021-10-15,1,Sé,Inativo Transitável,18:48,19:06,AV. VINTE E TRES DE MAIO, SANTANA/AEROPORTO, PC. DA BANDEIRA
14,2021-10-15,1,Sé,Inativo Transitável,18:51,22:52,AV. RIO BRANCO, BAIRRO/CENTRO, AV.DUQ DE CAXIAS
15,2021-10-15,1,Sé,Inativo Transitável,19:02,01:44,AV. RIO BRANCO, BAIRRO/CENTRO, R.GAL OSORIO
16,2021-10-15,1,Mooca,Inativo Transitável,09:59,10:14,R. GONCALVES DIAS, BAIRRO/CENTRO, R. CACHOEIRA
17,2021-10-15,1,Santo Amaro,Inativo Transitável,23:43,02:42,AV.STO AMARO, CENTRO/BAIRRO, AV. ROQUE PETRONI JUNIOR
18,2021-10-16,1,Cidade Ademar,Inativo Transitável,02:32,00:23,R. MIGUEL YUNES, MARGINAL/INTERLAGOS, AV.NSRA DO SABARA
19,2021-10-18,1,Sé,Inativo Intransitável,11:00,12:27,"VEL.PRES JOAO GOULART,", PENHA/LAPA, SOBRE AV PACAEMBU
20,2021-10-18,1,M'Boi Mirim,Inativo Transitável,10:18,12:24,AV. GUARAPIRANGA, BAIRRO/CENTRO, ALTURA DO NÚMERO 1389
21,2021-10-18,1,Santo Amaro,Inativo Transitável,07:28,13:29,VD. DOS BANDEIRANTES, BAIRRO/CENTRO, AV.VER JOSE DINIZ
22,2021-10-24,1,Freguesia do Ó,Inativo Transitável,07:09,10:08,MARGINAL TIETE - PISTA EXPRESSA, A SENNA/C BRANCO, PTE. FREGUESIA DO O
23,2021-10-24,1,Pinheiros,Inativo Transitável,07:03,20:00,VD.ENG ANTONIO MOLITERNO, BAIRRO/CENTRO, ALTURA DO NUMERO 100
24,2021-10-24,1,Mooca,Inativo Transitável,08:20,09:21,MARGINAL TIETE - PISTA EXPRESSA, CASTELO B/A SENNA, PTE. CRUZEIRO DO SUL JORN ARY SILVA
25,2021-10-24,1,Vila Mariana,Inativo Transitável,09:53,17:39,AV. IBIRAPUERA, BAIRRO/CENTRO, RUA IPE
26,2021-11-01,1,Sé,Inativo Transitável,06:40,12:52,AV. RIO BRANCO, BAIRRO/CENTRO, ALTURA DO NUMERO 691
27,2021-11-01,1,Sé,Inativo Transitável,06:45,12:53,AV. RIO BRANCO, BAIRRO/CENTRO, ALTURA DO NUMERO 547
28,2021-11-01,1,Lapa,Inativo Transitável,06:50,09:29,R. JOAO TIBIRICA ALTURA DO NUMERO 100, AMBOS, R. MONTE PASCAL
29,2021-11-01,1,Lapa,Inativo Transitável,07:28,09:29,R. JOAO TIBIRICA, BAIRRO/CENTRO, AV.EMB MACEDO SOARES
30,2021-11-01,1,Lapa,Inativo Transitável,10:32,12:47,VD. POMPEIA MANOEL DE MELLO, MARGINAL/POMPEIA, R. JOSE BENEDITO BONELI
31,2021-11-01,1,Itaquera,Inativo Transitável,07:27,11:17,AV. JOSE PINHEIRO BORGES, BAIRRO/CENTRO, R.PROF BRITO MACHADO
32,2021-11-18,1,Santana,Inativo Transitável,18:54,19:51,AV. CRUZEIRO DO SUL, IPIRANGA/SANTANA, ALTURA DO N. 1800
33,2021-11-18,1,Sé,Inativo Transitável,20:50,22:32,AV. RIO BRANCO, BAIRRO/CENTRO, R.GAL OSORIO
34,2021-11-18,1,Butantã,Inativo Intransitável,19:06,19:18,AV.PROF FRANCISCO MORATO, AMBOS, PC. PAULA MOREIRA
35,2021-11-18,1,Lapa,Inativo Transitável,21:12,23:59,AV.ENG BILLINGS, CASTELO/INTERLAGOS, AV. DRACENA
36,2021-11-18,1,Pinheiros,Inativo Transitável,20:13,20:19,AV. MARGINAL PINHEIROS, INT/CAST. BRANCO, PTE. OCTAVIO FRIAS DE OLIVEIRA - APOS SAIDA DA PONTE ESTAIADA
37,2021-11-18,1,Vila Mariana,Inativo Transitável,19:31,19:37,AV. VINTE E TRES DE MAIO, SANTANA/AEROPORTO, VD.GAL EUCLIDES DE FIGUEIREDO
38,2021-11-18,1,Vila Mariana,Inativo Transitável,19:41,00:34,AV.DR RICARDO JAFET, S PAULO/SANTOS, R. SAIOA
