,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2023-08-09,1,Sé,Inativo Intransitável,19:36,21:09,R JOAO TEODORO, SANTANA/IPIRANGA, AV DO ESTADO
1,2023-08-09,1,Sé,Inativo Transitável,19:45,21:02,AV DO ESTADO, SANTANA/IPIRANGA, AV MERCURIO
2,2023-08-09,1,Mooca,Inativo Intransitável,18:12,18:20,AV ALCANTARA MACHADO, CENTRO/BAIRRO, AV ALVARO RAMOS
3,2023-08-10,1,Sé,Inativo Transitável,10:28,11:04,R DA CONSOLACAO, BAIRRO/CENTRO, AV PAULISTA
4,2023-08-28,1,Sé,Inativo Transitável,06:37,10:06,:37 a 10:06R DA CONSOLACAO, CENTRO/BAIRRO, AV PAULISTA
5,2023-09-02,1,Sé,Inativo Intransitável,19:47,20:09,R MANOEL DUTRA, UNICO, PC QUATORZE BIS
6,2023-09-02,1,Lapa,Inativo Transitável,20:07,21:00,AV POMPEIA, MARGINAL/POMPEIA, R PALESTRA ITALIA
7,2023-09-02,1,Lapa,Inativo Intransitável,22:45,02:27,MARGINAL TIETE, A SENNA/CASTELO B - EXP, PTE ATTILIO FONTANA
8,2023-09-02,1,Santo Amaro,Inativo Intransitável,23:51,01:56,AV SANTO AMARO, CENTRO/BAIRRO, AV ROQUE PETRONI JUNIOR
9,2023-09-03,1,Itaquera,Inativo Intransitável,09:24,10:56,CV ARIETA CALFAT KHOURY FARAH, CENTRO/BAIRRO, AV JEAN KHOURY FARAH
10,2023-09-03,1,Penha,Inativo Transitável,06:17,10:59,AV CD.DE FRONTIN, BAIRRO/CENTRO, R JOAQUIM MARRA
11,2023-09-27,1,Vila Maria/ Vila Guilherme,Inativo Transitável,15:47,16:47,a 16:47MARGINAL TIETE, A SENNA/CASTELO B - EXPRESSA, PTE DA VILA GUILHERME C W O BAUMGART
12,2023-09-27,1,Sé,Inativo Transitável,15:44,02:01,VEL PRES JOAO GOULART, AMBOS, R ANA CINTRA
13,2023-09-27,1,Sé,Inativo Transitável,15:56,00:15,:56 a 00:15VEL PRES JOAO GOULART, AMBOS, AV PACAEMBU
14,2023-09-27,1,Itaquera,Inativo Transitável,15:53,20:20,:20AV ITAQUERA, AMBOS, R CAMPINAS DO PIAUI
15,2023-09-30,1,Santo Amaro,Inativo Transitável,23:07,00:36,AV STO AMARO, CENTRO/BAIRRO, AV PROF VICENTE RAO
