,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2014-01-09,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,18:02,19:00,RUA CHICO PONTES, UNICO, ALT. 1500
1,2014-01-09,1,Santana,Inativo Transitável,18:49,19:31,RUA CEL MARQUES RIBEIRO, AMBOS, MIGUEL MENTEM
2,2014-01-09,1,Santana,Inativo Transitável,18:59,19:47,AV DO ESTADO, AMBOS, PÇA CEL ODILON AQUINO DE OLIVEIRA
3,2014-01-10,1,Mooca,Inativo Transitável,17:53,18:30,AV ALCANTARA MACHADO, CENTRO/BAIRRO, AV ALVARO RAMOS
4,2014-01-10,1,Mooca,Inativo Transitável,18:08,18:33,AV ALCANTARA MACHADO, CENTRO/BAIRRO, VD GUADALAJARA
5,2014-01-10,1,Penha,Inativo Transitável,18:00,18:34,AV ANTONIO ESTEVAO DE CARVALHO, CENTRO/BAIRRO, PC DIVINOLANDIA
6,2014-01-10,1,Penha,Inativo Transitável,18:40,19:54,AV ANTONIO ESTEVAO DE CARVALHO, CENTRO/BAIRRO, R POXOREU
7,2014-01-10,1,Santo Amaro,Inativo Intransitável,17:31,19:16,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO, AV MARIO LOPES LEAO
8,2014-01-11,1,Sé,Inativo Intransitável,15:43,16:00,PC DA BANDEIRA, AMBOS, R RIACHUELO
9,2014-01-12,1,Santana,Inativo Transitável,19:37,22:17,AV CRUZEIRO DO SUL, AMBOS, R JOAO PACHECO
10,2014-01-12,1,Sé,Inativo Transitável,17:23,18:43,AV NOVE DE JULHO, CENTRO/BAIRRO, R ALFREDO GAGLIOTTI
11,2014-01-12,1,Sé,Inativo Transitável,17:53,18:43,PC DA BANDEIRA, CENTRO/BAIRRO, LG FERNANDO GALLEGO
12,2014-01-12,1,Sé,Inativo Transitável,17:56,18:30,PQ ANHANGABAU, SANTANA/AEROPORTO, AV S JOAO
13,2014-01-12,1,Sé,Inativo Transitável,18:04,22:17,AV S JOAO (S CECILIA), BAIRRO/CENTRO, AL GLETE
14,2014-01-12,1,Sé,Inativo Intransitável,18:05,02:30,TN JOSE ROBERTO F MELHEM, BAIRRO/CENTRO, PC MAL CORDEIRO DE FARIAS
15,2014-01-12,1,Santo Amaro,Inativo Transitável,18:13,20:58,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO, R OLIVIA FEDER
16,2014-01-13,1,Mooca,Inativo Transitável,15:43,16:05,AV ALCANTARA MACHADO, CENTRO/BAIRRO, AV ALVARO RAMOS
17,2014-01-13,1,Mooca,Inativo Transitável,15:53,16:09,AV CELSO GARCIA, CENTRO/BAIRRO, AV SALIM FARAH MALUF
18,2014-01-13,1,Mooca,Inativo Intransitável,15:56,18:04,AV CELSO GARCIA, AMBOS, R ENGENHO VELHO
19,2014-01-13,1,Santo Amaro,Inativo Transitável,13:32,14:40,R JOAO ALFREDO, BAIRRO/CENTRO, PC DOM FRANCISCO DE SOUSA
20,2014-01-14,1,Butantã,Inativo Transitável,21:00,21:38,AV JORGE JOAO SAAD, ESTADIO/F MORATO, R COMTE LIRA
21,2014-01-14,1,Santo Amaro,Inativo Transitável,20:39,21:18,AV STO AMARO, AMBOS, AV ROQUE PETRONI JUNIOR
22,2014-01-14,1,Santo Amaro,Inativo Transitável,20:41,21:31,AV STO AMARO, BAIRRO/CENTRO, R DR JESUINO MACIEL
23,2014-01-14,1,Santo Amaro,Inativo Transitável,21:01,23:04,R ALVARENGA, UNICO, AV AFRANIO PEIXOTO
24,2014-01-14,1,Santo Amaro,Inativo Transitável,21:02,21:22,AV VITOR MANZINI, BAIRRO/CENTRO, R ELIAS ANTONIO ZOGBI
25,2014-01-15,1,Sé,Inativo Intransitável,01:37,09:49,TN JOSÉ ROBERTO F MELHEM, BAIRRO/CENTRO, R DA CONSOLAÇÃO
26,2014-01-15,1,Sé,Inativo Transitável,19:40,20:45,AV VINTE E TRES DE MAIO, SANTANA/AEROPORTO, R SANTO AMARO
27,2014-01-15,1,Sé,Inativo Transitável,19:42,20:46,AV VINTE E TRES DE MAIO, AEROPORTO/SANTANA, PC DA BANDEIRA
28,2014-01-15,1,Pinheiros,Inativo Transitável,01:00,04:00,a 04:00MARGINAL PINHEIROS, INTERLAGOS/CASTELO - EXPRESSA, PTE EUSÉBIO MATOSO
29,2014-01-15,1,Pinheiros,Inativo Transitável,19:37,20:10,AV DOS BANDEIRANTES, MARGINAL/IMIGRANTES, VD JOÃO JULIÃO DA COSTA AGUIAR
30,2014-01-15,1,Mooca,Inativo Transitável,03:12,04:10,AV CELSO GARCIA, CENTRO/BAIRRO, ALTURA DO N 1359
31,2014-01-15,1,Mooca,Inativo Transitável,03:16,04:10,AV CELSO GARCIA, CENTRO/BAIRRO, R JOSE DE ALENCAR
32,2014-01-15,1,Santo Amaro,Inativo Transitável,00:34,03:58,AV DAS NAÇÕES UNIDAS, INTERLAGOS/CASTELO, R OLIVIA FEDER
33,2014-01-15,1,Ipiranga,Inativo Intransitável,19:59,20:57,RV DOS IMIGRANTES, AMBOS, AV PROF ABRAAO DE MORAIS
34,2014-01-15,1,Ipiranga,Inativo Intransitável,20:01,20:57,AV MIGUEL ESTEFANO, AMBOS, AV PROF ABRAÃO DE MORAIS
35,2014-01-15,1,Ipiranga,Inativo Transitável,20:02,20:48,AV DR RICARDO JAFET, S PAULO/SANTOS, VD SAIOA
36,2014-01-15,1,Ipiranga,Inativo Intransitável,20:03,20:57,AV PROF ABRAÃO DE MORAIS, AMBOS, AV FAGUNDES FILHO
37,2014-01-15,1,Ipiranga,Inativo Transitável,20:04,20:57,AV PROF ABRAÃO DE MORAIS, AMBOS, R RIBEIRO LACERDA
38,2014-01-15,1,Ipiranga,Inativo Transitável,20:16,20:46,R DOM BOSCO, AMBOS, R LUIS GAMA
39,2014-01-15,1,Vila Mariana,Inativo Transitável,19:31,20:40,AV RUBEM BERTA, AMBOS, VD ONZE DE JUNHO
40,2014-01-15,1,Vila Mariana,Inativo Intransitável,19:40,20:57,AV PROF ABRAÃO DE MORAIS, S PAULO/SANTOS, R CATULO DA PAIXÃO CEARENSE
41,2014-01-15,1,Vila Mariana,Inativo Transitável,19:43,21:12,AV PROF ASCENDINO REIS, CENTRO/BAIRRO, PC JUCA MULATO
42,2014-01-15,1,Vila Mariana,Inativo Transitável,19:53,20:12,AV VINTE E TRES DE MAIO, SANTANA/AEROPORTO, VD GAL EUCLIDES DE FIGUEIREDO
43,2014-01-16,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,14:13,15:50,R CEL MARQUES RIBEIRO, AMBOS, R JOSÉ BERNARDO PINTO
44,2014-01-16,1,Santana,Inativo Transitável,13:48,16:09,R CEL ANTONIO DE CARVALHO, ÚNICO, R URUPIARA
45,2014-01-16,1,Santana,Inativo Transitável,14:26,20:32,AV CRUZEIRO DO SUL, AMBOS, R JOÃO PACHECO
46,2014-01-16,1,Santana,Inativo Transitável,14:34,20:32,AV CRUZEIRO DO SUL, AMBOS, R MANUEL ANTONIO DE ALMEIDA
47,2014-01-16,1,Santana,Inativo Transitável,14:37,18:17,AV CRUZEIRO DO SUL, AMBOS, ALTURA DO N. 577
48,2014-01-16,1,Santana,Inativo Transitável,18:28,20:32,AV CRUZEIRO DO SUL, IP/ST, ALTURA DO N. 500
49,2014-01-16,1,Sé,Inativo Transitável,14:04,20:00,PÇ MIGUEL FORTE, B/C, AV DO ESTADO
50,2014-01-16,1,Sé,Inativo Intransitável,14:33,16:08,R BARRA DO TIBAGI, AMBOS, ALTURA DO N. 43
51,2014-01-16,1,Lapa,Inativo Transitável,15:20,16:13,AV SUMARÉ, LIMÃO/SUMARÉ, PC MARREY JUNIOR
52,2014-01-16,1,Pinheiros,Inativo Transitável,14:13,15:34,AV DAS NAÇÕES UNIDAS, INTERLAGOS/CASTELO - LOCAL, R OLÍVIA FEDER
53,2014-01-16,1,Mooca,Inativo Intransitável,14:20,18:22,R CASIMIRO DE ABREU, ÚNICO, R SILVA TELES
54,2014-01-16,1,Mooca,Inativo Transitável,14:29,18:21,R CASIMIRO DE ABREU, AMBOS, R SILVA TELES
55,2014-01-16,1,Mooca,Inativo Transitável,14:42,18:22,R ORIENTE, AMBOS, R MILLER
56,2014-01-16,1,M'Boi Mirim,Inativo Transitável,14:57,18:30,AV GUARAPIRANGA, B/C, ALTURA DO N. 1389
57,2014-01-16,1,Santo Amaro,Inativo Transitável,14:25,14:48,AV SANTO AMARO, B/C, AV JORN ROBERTO MARINHO
58,2014-01-16,1,Santo Amaro,Inativo Transitável,14:50,16:16,:16AV PROF VICENTE RAO, MARG/DIADEMA, AV SANTO AMARO
