,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2021-04-06,1,Vila Maria/ Vila Guilherme,Inativo Transitável,18:59,19:04,AV. GUILHERME, AMBOS, R. S. QUIRINO
1,2021-04-06,1,Vila Maria/ Vila Guilherme,Inativo Transitável,19:43,20:26,R. MARIA CANDIDA, UNICO, R. MANUEL DE ALMEIDA
2,2021-04-06,1,Sé,Inativo Transitável,20:09,21:14,R. BARRA DO TIBAJI, AMBOS, R. ANHAIA
3,2021-04-06,1,Pinheiros,Inativo Transitável,18:40,20:00,R. ESTADOS UNIDOS, UNICO, R. BELA CINTRA
4,2021-04-06,1,Pinheiros,Inativo Transitável,21:27,22:05,AV. DAS NACOES UNIDAS, INTERLAGOS/CASTELO - LOCAL, R. OLIVIA FEDER
5,2021-04-06,1,Mooca,Inativo Transitável,15:21,15:35,R. MELO FREIRE, BAIRRO/CENTRO, VD. PIRES DO RIO
6,2021-04-06,1,Santo Amaro,Inativo Transitável,18:28,18:56,AV. DAS. NACOES UNIDAS, INTERLAGOS/CASTELO - PISTA EXPRESSA, R. JAIME DE OLIVEIRA SOUZA
7,2021-04-17,1,Pinheiros,Inativo Intransitável,23:54,00:11,AV. DAS NAÇÕES UNIDAS (ALTO DE PINHEIROS), INTERLAGOS/CASTELO, PTE ENG ROBERTO ROSSI ZUCCOLO
8,2021-04-17,1,Vila Mariana,Inativo Intransitável,23:58,00:25,AV. JOSÉ MARIA WHITAKER (MOEMA), AMBOS, VD ONZE DE JUNHO
9,2021-04-18,1,Vila Maria/ Vila Guilherme,Inativo Transitável,04:21,04:29,AV. MORVAN DIAS DE FIGUEIREDO, A SENNA/CASTELO B - LOCAL, AV. GUILHERME
10,2021-04-18,1,Sé,Inativo Transitável,00:39,04:47,AV. S. JOAO, BAIRRO/CENTRO, AL. GLETE
11,2021-04-18,1,Butantã,Inativo Transitável,00:51,02:17,AV. DOS TAJURAS (MORUMBI), BAIRRO/CENTRO," PTE ENG ROBERTO ROSSI ZUCCOLO, 1"
12,2021-04-18,1,Pinheiros,Inativo Transitável,00:44,05:08,VD. SANTO AMARO, BAIRRO/CENTRO, ALTURA DO NÚMERO 13
13,2021-04-18,1,Mooca,Inativo Transitável,07:48,08:01,VD. PIRES DO RIO, CENTRO/BAIRRO, RETORNOC PARA C/B
14,2021-04-18,1,Vila Mariana,Inativo Transitável,00:13,01:03,AV. IBIRAPUERA (MOEMA), BAIRRO/CENTRO, AV JANDIRA
15,2021-04-18,1,Vila Mariana,Inativo Transitável,00:31,01:12,AV. JAMARIS (MOEMA), UNICO, AV IBIRAPUERA
16,2021-05-13,1,Lapa,Inativo Transitável,02:51,03:48,AV. DRA RUTH CARDOSO (ALTO DE PINHEIROS), INTERLAGOS/CASTELO - TRANSPOSIÇÃO EXP/LOCAL, ALTURA DO N. 1405
17,2021-05-13,1,Lapa,Inativo Intransitável,03:48,04:55,MARGINAL PINHEIROS CBINT, CASTELO/INTERLAGOS - EXP, PTE. FERREA
18,2021-05-13,1,Pinheiros,Inativo Intransitável,00:37,01:10,AV. DAS. NACOES UNIDAS, INTERLAGOS/CASTELO - LOCAL, R. OLIVIA FEDER
19,2021-05-13,1,Pinheiros,Inativo Transitável,00:42,01:03,VD. ENG ANTONIO MOLITERNO (ITAIM BIBI), BAIRRO/CENTRO, AV JORN ROBERTO MARINHO
20,2021-05-13,1,Pinheiros,Inativo Intransitável,00:53,01:33,VD. SANTO AMARO, C/B, AV. JORN. ROBERTO MARINHO
21,2021-05-13,1,Santo Amaro,Inativo Transitável,09:35,10:52,R. JOAO ALFREDO, BAIRRO/CENTRO, PC. DOM. FRANCISCO DE SOUSA
22,2021-05-23,1,Santo Amaro,Inativo Transitável,07:18,07:59,R. JOAO ALFREDO, BAIRRO/CENTRO, PC. DOM. FRANCISCO DE SOUSA
23,2021-06-22,1,Santana,Ativo Transitável,06:46,N/A,a AV. ASSIS CHATEAUBRIAND, A SENNA/CASTELO B - LOCAL, PTE. DAS. BANDEIRAS SEN ROMEU TUMA
