,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2016-10-03,1,Santana,Inativo Transitável,17:16,22:34,AV GAL ATALIBA LEONEL, CENTRO/BAIRRO, ALTURA DO Nº656
1,2016-10-03,1,Sé,Inativo Transitável,14:28,22:19,R FLORENCIO DE ABREU, CENTRO/BAIRRO, AV SEN QUEIROS
2,2016-10-04,1,Sé,Inativo Transitável,10:54,14:32,R FLORENCIO DE ABREU, BAIRRO/CENTRO, ALTURA DO Nº671
3,2016-10-04,1,Butantã,Inativo Intransitável,08:31,08:37,R ANGELO COLUCCI, BAIRRO/CENTRO, ALTURA DO Nº115
4,2016-10-06,1,Pinheiros,Inativo Transitável,21:41,22:50,R ESTADOS UNIDOS, BAIRRO/CENTRO, ALTURA DO Nº671
5,2016-10-13,1,Mooca,Inativo Intransitável,16:33,19:05,AV CELSO GARCIA, BAIRRO/CENTRO, R SALDANHA MARINHO
6,2016-10-13,1,Penha,Inativo Transitável,18:18,18:20,AV BUENOS AIRES, BAIRRO/CENTRO, R MARIA LEOCADIA
7,2016-10-14,1,Guaianases,Inativo Intransitável,18:06,18:23,R GETULINA, BAIRRO/CENTRO, R BELMIRO VALVERDE
8,2016-10-17,1,Casa Verde,Inativo Transitável,17:15,17:24,AV OTAVIANO ALVES DE LIMA, A SENNA/CASTELO B, PTE JORN WALTER ABRAHAO
9,2016-10-17,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,17:08,17:28,AV MORVAN DIAS DE FIGUEIREDO, A SENNA/CASTELO B, R DA COROA
10,2016-10-17,1,Sé,Inativo Transitável,17:00,17:12,AV VINTE E TRES DE MAIO, AEROPORTO/SANTANA, R DO OUVIDOR
11,2016-10-17,1,Sé,Inativo Transitável,17:08,17:28,PC DA BANDEIRA, BAIRRO/CENTRO, AV NOVE DE JULHO
12,2016-10-17,1,Sé,Inativo Transitável,17:08,17:12,PC DA BANDEIRA, BAIRRO/CENTRO, AV VINTE E TRES DE MAIO
13,2016-10-18,1,Santana,Inativo Transitável,17:08,10:19,AV CRUZEIRO DO SUL, IPIRANGA/SANTANA, ALTURA DO Nº400
14,2016-10-18,1,Sé,Inativo Intransitável,15:24,15:34,AV VINTE E TRES DE MAIO, SANTANA/AEROPORTO, PC DA BANDEIRA
15,2016-10-18,1,Mooca,Inativo Transitável,15:43,16:01,AV CELSO GARCIA, UNICO, AV RANGEL PESTANA
16,2016-10-20,1,Pirituba/Jaraguá,Inativo Intransitável,17:52,17:56,R INACIO LUIS DA COSTA, CENTRO/BAIRRO, VIA ANHANGUERA
17,2016-10-20,1,Sé,Inativo Transitável,18:04,18:06,PC DA BANDEIRA, UNICO, R S FRANCISCO
18,2016-10-20,1,Butantã,Inativo Intransitável,17:07,17:23,R ENG OSCAR AMERICANO, BAIRRO/CENTRO, R CIRCULAR DO BOSQUE
19,2016-10-20,1,Butantã,Inativo Transitável,17:07,17:23,PC JORGE DE LIMA, BAIRRO/CENTRO, AV PROF FRANCISCO MORATO
20,2016-10-20,1,Butantã,Inativo Intransitável,17:23,20:03,AV DOS TAJURAS, BAIRRO/CENTRO, R DR ALBERTO DA SILVEIRA
