index,Data,Arquivo,Origem,Destino,Num_viagens,Tempo com chuva (min),Nós com chuva,Tempo ponderado com chuva (min)
11,15/01/2013,h_1242000.tif,77307,99226,1322.7144157044002,104.2641353999998,260,137911.6749345352
11,15/01/2013,h_1242000.tif,77307,93519,696.8540799088905,92.17001520000014,266,64229.05113738456
11,15/01/2013,h_1242000.tif,77307,1545,520.8989978825961,297.1455513000011,764,154782.81989744212
11,15/01/2013,h_1242000.tif,77307,2548,433.08254098802274,156.54221520000064,511,67795.70033071015
11,15/01/2013,h_1242000.tif,77307,110651,0.0,156.54221520000064,511,67795.70033071015
11,15/01/2013,h_1242000.tif,77307,12440,126.223526558201,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,76682,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,100654,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,85975,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,13735,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,93863,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,28900,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,30047,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,94707,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,100907,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,111928,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,69371,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,63277,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,75323,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,66851,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,67368,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,61825,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,109343,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,88083,0.0,280.7712317999995,811,35439.935033886046
11,15/01/2013,h_1242000.tif,77307,109234,390.9768945581024,137.30976150000006,395,53684.944143783716
