,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2020-07-01,1,Pinheiros,Inativo Transitável,07:00,08:48,VD. CAMPO BELO, BAIRRO/CENTRO, R. EDSON
1,2020-07-01,1,Pinheiros,Inativo Intransitável,08:51,09:50,VD. CAMPO BELO, BAIRRO/CENTRO, AV. STO. AMARO
2,2020-07-03,1,Pinheiros,Inativo Intransitável,06:09,06:26,VD. CAMPO BELO, BAIRRO/CENTRO, R. EDSON
3,2020-07-04,1,Pinheiros,Inativo Intransitável,23:47,00:13,VD. CAMPO BELO, BAIRRO/CENTRO, ALTURA DO NÚMERO 0: SOBRE VIADUTO
4,2020-07-05,1,Pinheiros,Inativo Intransitável,01:32,01:39,AV. JORN. ROBERTO MARINHO, AEROPORTO/MARGINAL, ALTURA DO NÚMERO 802
5,2020-07-08,1,Pinheiros,Inativo Transitável,03:59,04:06,VD. CAMPO BELO, BAIRRO/CENTRO, ALTURA DO NÚMERO 0: NO FINAL
6,2020-08-16,1,Butantã,Inativo Transitável,05:31,08:59,MARGINAL PINHEIROS, CASTELO/INTERLAGOS - EXP, PTE. OCTAVIO FRIAS DE OLIVEIRA
7,2020-08-16,1,Pinheiros,Inativo Intransitável,09:15,10:02,R. MICHIGAN, BAIRRO/CENTRO, ALTURA DO NÚMERO 45
8,2020-08-16,1,Pinheiros,Inativo Transitável,15:38,19:21,VD. CAMPO BELO, BAIRRO/CENTRO, ALTURA DO NÚMERO 0
9,2020-08-17,1,Sé,Inativo Transitável,23:15,03:57,MARGINAL TIETE, CASTELO B/A SENNA - CENTRAL, PTE. GOV. ORESTES QUERCIA
10,2020-08-17,1,Pinheiros,Inativo Intransitável,00:25,11:33,VD. CAMPO BELO, BAIRRO/CENTRO, ALTURA DO NÚMERO 0
11,2020-08-18,1,Butantã,Inativo Transitável,01:46,03:59,AV. ENG. BILLINGS, CASTELO/INTERLAGOS - LOCAL, AV. ESCOLA POLITÉCNICA
12,2020-08-19,1,M'Boi Mirim,Inativo Transitável,01:31,08:44,ES. M BOI MIRIM, BAIRRO/CENTRO, R. DANIEL KLEIN
13,2020-08-21,1,Pirituba/Jaraguá,Inativo Transitável,09:44,10:52,AV. RAIMUNDO PEREIRA DE MAGALHÃES, CENTRO/BAIRRO, ALTURA DO N. 12011: OPOSTO
14,2020-08-21,1,Sé,Inativo Transitável,07:35,08:24,VD. DO. CHÁ, PATRIARCA/R AZEVEDO, ALTURA DO NÚMERO 40: A MAIS 50 M DO N.40
15,2020-08-21,1,Sé,Inativo Transitável,09:08,09:18,R. BR. DE. CAMPINAS, ÚNICO, AL. GLETE
16,2020-08-21,1,São Miguel Paulista,Inativo Transitável,14:06,22:22,:22AV. BRÁS DA ROCHA CARDOSO, AMBOS, R. COARACY
17,2020-08-21,1,Campo Limpo,Inativo Transitável,08:19,10:11,ES. DE. ITAPECERICA, BAIRRO/CENTRO, ALTURA DO N. 3741
18,2020-08-22,1,Santana,Inativo Intransitável,12:46,13:21,AL. NOTHMANN, ÚNICO, R. ANHAIA
19,2020-08-22,1,Sé,Inativo Intransitável,09:05,17:04,R. ANHAIA (BOM RETIRO), AMBOS, R SILVA PINTO
20,2020-08-22,1,São Miguel Paulista,Inativo Transitável,09:08,09:15,AV. BRÁS DA ROCHA CARDOSO, AMBOS, ALTURA DO N. 658
21,2020-08-23,1,Pirituba/Jaraguá,Inativo Transitável,11:22,11:43,AV. ALEXIOS JAFET, BAIRRO/CENTRO, ALTURA DO N. 638
22,2020-09-22,1,M'Boi Mirim,Inativo Transitável,05:59,06:18,R. JOAO ALFREDO, ÚNICO, PC. DOM. FRANCISCO DE SOUSA
