,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2024-01-08,1,Casa Verde,Inativo Intransitável,16:19,17:23,AV ANTONIO MUNHOZ BONILHA, AMBOS, AV NSRA.DO O
1,2024-01-08,1,Casa Verde,Inativo Transitável,16:34,18:23,R SAMARITA, SUMARE/LIMAO, R MANUEL JOSE RATAO
2,2024-01-08,1,Santana,Inativo Transitável,16:25,18:23,PC CAMPO DE BAGATELLE, C VERDE/SANTANA, R PROF MILTON RODRIGUES
3,2024-01-08,1,Santana,Inativo Intransitável,16:34,18:23,AV OLAVO FONTOURA, C VERDE/SANTANA, ALTURA 1209
4,2024-01-08,1,Sé,Inativo Intransitável,15:57,16:40,PC QUATORZE BIS, CENTRO/BAIRRO, R MANOEL DUTRA
5,2024-01-08,1,Sé,Inativo Transitável,15:58,16:41,PC DA BANDEIRA, BAIRRO/CENTRO, 
6,2024-01-08,1,Sé,Inativo Transitável,16:22,18:24,VEL PRES JOAO GOULART, PENHA/LAPA, R ANA CINTRA
7,2024-01-08,1,Sé,Inativo Intransitável,16:33,17:21,AV S JOAO, BAIRRO/CENTRO, AL GLETE
8,2024-01-08,1,Sé,Inativo Intransitável,16:34,17:12,AV S JOAO, BAIRRO/CENTRO, R HELVETIA
9,2024-01-08,1,Sé,Inativo Intransitável,16:45,17:38,AV PRESTES MAIA, AEROPORTO/SANTANA, R CARLOS DE SOUSA NAZARE
10,2024-01-08,1,Lapa,Inativo Transitável,16:13,17:23,AV MARQUES DE SAO VICENTE, LAPA/B FUNDA, ALTURA DO N. 2156
11,2024-01-08,1,Lapa,Inativo Transitável,16:14,17:23,AV MARQ.DE SAO VICENTE, LAPA/B FUNDA, PC PASCOAL MARTINS
12,2024-01-08,1,Ermelino Matarazzo,Inativo Intransitável,16:56,21:09,VD ANTONIO SANCHEZ DE L. JUNIOR, A SENNA/MAUA, AV CAITITU
13,2024-01-08,1,Itaquera,Inativo Intransitável,15:56,16:44,AV ITAQUERA, AMBOS, R SERRANA (CID LIDER)
14,2024-01-08,1,São Miguel Paulista,Inativo Intransitável,16:30,17:04,RUA SERRA DO GRAO MOGOL, UNICO, ALTURA DO N. 323
15,2024-01-08,1,Santo Amaro,Inativo Transitável,15:16,17:05,AV DOS BANDEIRANTES, AMBOS, VD DOS BANDEIRANTES-DR ANTONIO MARCONDES DE ALMEIDA
16,2024-01-08,1,Vila Mariana,Inativo Transitável,15:28,18:35,AV IBIRAPUERA, BAIRRO/CENTRO, AV JAMARIS
17,2024-01-08,1,Vila Mariana,Inativo Transitável,15:41,17:34,AV REPUBLICA DO LIBANO, AMBOS, AV ANTONIO J. DE MOURA ANDRADE
18,2024-01-09,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,17:33,19:01,R CHICO PONTES, UNICO, AV GUILHERME
19,2024-01-09,1,Sé,Inativo Transitável,17:12,19:45,AV DO ESTADO, IPIRANGA/SANTANA, R S CAETANO (BOM RETIRO)
20,2024-01-09,1,Sé,Inativo Intransitável,17:13,18:48,MARGINAL TIETE CBAS EXPRESSA, CASTELO B/A SENNA, PTE DAS BANDEIRAS SEN ROMEU TUMA
21,2024-01-09,1,Sé,Inativo Transitável,17:31,19:45,VEL PRES JOAO GOULART, AMBOS, R ANA CINTRA
22,2024-01-09,1,Sé,Inativo Intransitável,18:00,18:53,AV SANTOS DUMONT, AEROPORTO/SANTANA, R GUAPORE
23,2024-01-09,1,Sé,Inativo Transitável,20:24,20:43,AV PRES CASTELO BRANCO, NAO INFORMADO, R MATARAZZO
24,2024-01-09,1,Aricanduva/ Vila Formosa,Inativo Transitável,18:03,19:42,R FELISBELA GONCALVES, CENTRO/BAIRRO, AV DR EDUARDO COTCHING
25,2024-01-09,1,Vila Mariana,Inativo Intransitável,17:31,19:20,AV VINTE E TRES DE MAIO, AMBOS, VD GAL EUCLIDES DE FIGUEIREDO
26,2024-01-09,1,Vila Mariana,Inativo Intransitável,17:53,19:20,AV REPUBLICA DO LIBANO, AMBOS, AV ANTONIO J. DE MOURA ANDRADE
27,2024-01-09,1,Vila Mariana,Inativo Transitável,17:55,20:50,AV BRIG LUIS ANTONIO, NAO INFORMADO, R GROENLANDIA
28,2024-01-09,1,Vila Mariana,Inativo Transitável,18:02,19:36,AV IBIRAPUERA, BAIRRO/CENTRO, AV MOEMA
29,2024-01-10,1,Casa Verde,Inativo Intransitável,18:46,19:49,AV ANTONIO MUNHOZ BONILHA, AMBOS, AV NSRA.DO O
30,2024-01-10,1,Casa Verde,Inativo Intransitável,19:09,19:43,R BARTHOLOMEU DO CANTO, AMBOS, AV INAJAR DE SOUZA
31,2024-01-10,1,Casa Verde,Inativo Intransitável,21:37,22:14,R NELSON FRANCISCO, UNICO, R MAEST GABRIEL MIGLIORI
32,2024-01-10,1,Casa Verde,Inativo Intransitável,21:45,23:00,AV BRAZ LEME, AMBOS, PTE DA CASA VERDE-JORN.WALTER ABRAHAO
33,2024-01-10,1,Casa Verde,Inativo Intransitável,22:02,22:13,R MATEUS MASCARENHAS, UNICO, R CEL MARIO DE AZEVEDO
34,2024-01-10,1,Casa Verde,Inativo Intransitável,22:29,22:32,PC DEL AMOROSO NETO, SUMARE/LIMAO, R MANUEL JOSE RATAO
35,2024-01-10,1,Freguesia do Ó,Inativo Intransitável,21:40,22:14,R CORREIA DE SA, AMBOS, AV NSRA.DO O
36,2024-01-10,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,21:55,03:16,AV EDU CHAVES, AMBOS, AV SANATORIO
37,2024-01-10,1,Pirituba/Jaraguá,Inativo Intransitável,18:45,19:23,AV CABO ADAO PEREIRA, AMBOS, AV BENEDITO ANDRADE
38,2024-01-10,1,Pirituba/Jaraguá,Inativo Intransitável,18:56,20:39,AV GAL EDGAR FACO, AMBOS, AV PAULA FERREIRA
39,2024-01-10,1,Santana,Inativo Intransitável,21:37,23:50,R TIBAES, CENTRO/BAIRRO, R ANTONIO DE LUSTOSA
40,2024-01-10,1,Santana,Inativo Intransitável,21:57,22:55,AV ZAKI NARCHI, AMBOS, R URUPIARA
41,2024-01-10,1,Santana,Inativo Intransitável,22:35,22:49,AV OLAVO FONTOURA, AMBOS, R PROF MILTON RODRIGUES
42,2024-01-10,1,Sé,Inativo Intransitável,19:25,20:38,R NORMA PIERUCCINI GIANNOTTI, BAIRRO/CENTRO, R ANHANGUERA
43,2024-01-10,1,Sé,Inativo Intransitável,21:16,22:30,R CAPISTRANO DE ABREU, UNICO, RUA CONSELHEIRO BROTERO
44,2024-01-10,1,Sé,Inativo Intransitável,21:21,23:30,MARGINAL TIETE CBAS CENTRAL, CASTELO B/A SENNA, PTE DAS BANDEIRAS SEN ROMEU TUMA
45,2024-01-10,1,Sé,Inativo Intransitável,21:24,23:37,AV PRES CASTELO BRANCO, CASTELO B/A SENNA, PTE DAS BANDEIRAS SEN ROMEU TUMA
