,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2016-01-01,1,Freguesia do Ó,Inativo Transitável,18:53,19:10,AV GAL EDGAR FACO, AMBOS, AV PAULA FERREIRA
1,2016-01-01,1,Jaçanã/ Tremembé,Inativo Intransitável,19:16,20:43,R PEDRO ALVARES CABRAL (B RET), UNICO, R S CAETANO
2,2016-01-01,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,19:02,20:46,R CHICO PONTES, ÚNICA, AV GUILHERME
3,2016-01-01,1,Vila Maria/ Vila Guilherme,Inativo Transitável,21:09,23:01,AV EDUCA PAULO FREIRE, BAIRRO/CENTRO, ALTURA DO NÚMERO 1518
4,2016-01-01,1,Pirituba/Jaraguá,Inativo Intransitável,18:32,20:47,MARGINAL TIETE ASCB EXPRESSA, A SENNA/CASTELO B - CENTRAL, PTE ADHEMAR FERREIRA DA SILVA
5,2016-01-01,1,Pirituba/Jaraguá,Inativo Intransitável,18:34,20:17,"ES TURISTICA DO JARAGUA,", AMBOS - ÚNICA, VIA ANHANGUERA
6,2016-01-01,1,Pirituba/Jaraguá,Inativo Transitável,18:59,22:17,AV RAIMUNDO PEREIRA DE MAGALHAES, AMBOS, ALTURA DO NÚMERO 18460
7,2016-01-01,1,Pirituba/Jaraguá,Inativo Intransitável,19:05,18:43,AV RAIMUNDO PEREIRA DE MAGALHAES, CENTRO/BAIRRO, ALTURA DO NÚMERO 12000
8,2016-01-01,1,Perus,Inativo Intransitável,19:21,23:01,PC INACIO DIAS, ÚNICA, ALTURA DO NÚMERO 154
9,2016-01-01,1,Santana,Inativo Intransitável,19:45,19:58,"AV ZAKI NARCHI,", UNICA, AV CRUZEIRO DO SUL
10,2016-01-01,1,Sé,Inativo Transitável,07:42,12:37,"PC MAL DEODORO,", UNICO, R DR ALBUQUERQUE LINS
11,2016-01-01,1,Sé,Inativo Transitável,17:58,19:06,PC DA BANDEIRA, CENTRO/BAIRRO, AV VINTE E TRES DE MAIO
12,2016-01-01,1,Sé,Inativo Transitável,18:45,19:10,AV PRESTES MAIA, SANTANA/AEROPORTO, ALTURA DO NÚMERO 241
13,2016-01-01,1,Sé,Inativo Intransitável,19:20,20:19,:20 a 20:19R DA CANTAREIRA, UNICO, AV MERCURIO
14,2016-01-01,1,Lapa,Inativo Intransitável,18:39,23:24,AV MOFARREJ, AMBOS, AV DR GASTAO VIDIGAL
15,2016-01-01,1,Lapa,Inativo Transitável,18:39,19:27,AV MARQ.DE SAO VICENTE, LAPA/B FUNDA, PC PASCOAL MARTINS
16,2016-01-01,1,Lapa,Inativo Intransitável,23:10,23:11,AV MOFARREJ, AMBOS - AMBAS, AV DR GASTAO VIDIGAL
17,2016-01-01,1,Pinheiros,Inativo Transitável,19:38,22:10,AV DAS NACOES UNIDAS, CASTELO/INTERLAGOS - CENTRAL, ALTURA DO NÚMERO 57
18,2016-01-01,1,Itaquera,Inativo Transitável,19:15,07:26,AV JOSE PINHEIRO BORGES, CENTRO/BAIRRO, ALTURA DO NÚMERO 4600
19,2016-01-01,1,Itaquera,Inativo Transitável,19:24,19:37,AV CAMPANELLA, CENTRO/BAIRRO, R PDE VIEGAS DE MENEZES
20,2016-01-01,1,Itaim Paulista,Inativo Intransitável,19:28,20:46,R MANUEL BARBALHO DE LIMA, ÚNICA, AV MAL TITO
