,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2020-10-09,1,Pirituba/Jaraguá,Inativo Intransitável,08:04,08:22,AV. RAIMUNDO PEREIRA DE MAGALHÃES, CENTRO/BAIRRO, R. MARIA DA CRUZ CUNHA
1,2020-10-09,1,Pirituba/Jaraguá,Inativo Intransitável,08:29,09:40,AV. RAIMUNDO PEREIRA DE MAGALHÃES, BAIRRO/CENTRO, ALTURA DO N. 12877
2,2020-10-09,1,Santana,Inativo Transitável,12:36,13:19,AV. CRUZEIRO DO SUL, IP/SANTANA, ALTURA DO N. 1799
3,2020-10-09,1,Sé,Inativo Transitável,06:26,13:22,R. JUSTO AZAMBUJA, CENTRO/BAIRRO, R. OTTO ALENCAR
4,2020-10-09,1,Sé,Inativo Transitável,07:26,08:07,:26 a 08:07AL. NORTHMANN, ÚNICO, R. VITORINO CARMILO
5,2020-10-09,1,Sé,Inativo Transitável,08:12,11:56,AV. SÃO JOÃO, BAIRRO/CENTRO, AL. GLETE
6,2020-10-09,1,Sé,Inativo Transitável,10:30,12:42,AV. RIO BRANCO, BAIRRO/CENTRO, AV. DUQUE DE CAXIAS
7,2020-10-09,1,Butantã,Inativo Transitável,06:37,06:44,AV. VITAL BRASIL, BAIRRO/CENTRO, R. CAMARGO
8,2020-10-09,1,Butantã,Inativo Transitável,06:39,11:31,AV. VITAL BRASIL, BAIRRO/CENTRO, PÇ. JORGE DE LIMA
9,2020-10-09,1,Lapa,Inativo Transitável,06:24,12:30,VEL. PRES. JOÃO GOULART, LA/PE, AV. PACAEMBU
10,2020-10-09,1,Lapa,Inativo Transitável,07:19,07:37,R. PALESTRA ITALIA, ÚNICO, R. CARAIBAS
11,2020-10-09,1,Pinheiros,Inativo Transitável,10:22,12:38,AV. DRA. RUTH CARDOSO, INT/CASTELO - LOCAL, PTE. EUSÉBIO MATOSO
12,2020-10-09,1,Itaquera,Inativo Transitável,15:22,02:41,R. ITALINA, CENTRO/BAIRRO, R. VICTORIO SANTIM
13,2020-10-09,1,Mooca,Inativo Intransitável,13:19,15:19,a 15:19PTE. PRES JANIO QUADROS (BELEM), BAIRRO/CENTRO, AV CDSSA ELISABETH DE ROBIANO
14,2020-10-09,1,M'Boi Mirim,Inativo Intransitável,07:23,08:49,R. JOÃO ALFREDO, BAIRRO/CENTRO, PÇ. DOM FRANCISCO DE SOUSA
15,2020-10-19,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,16:20,17:27,R. CHICO PONTES (VILA GUILHERME), AMBOS, AV GUILHERME
16,2020-10-19,1,Sé,Inativo Transitável,16:39,17:56,AV. RIO BRANCO (REPUBLICA), BAIRRO/CENTRO, R GAL OSORIO
17,2020-10-19,1,Pinheiros,Inativo Transitável,16:53,17:13,AV. STO AMARO (CAMPO BELO), CENTRO/BAIRRO, ALTURA DO NÚMERO 4644
18,2020-10-19,1,Pinheiros,Inativo Intransitável,17:24,19:41,AV. STO. AMARO, BAIRRO/CENTRO, AV. JORN. ROBERTO MARINHO
19,2020-10-19,1,Pinheiros,Inativo Transitável,19:02,01:40,VD. ENG ANTONIO MOLITERNO (ITAIM BIBI), BAIRRO/CENTRO, AV JORN ROBERTO MARINHO
20,2020-10-19,1,Itaquera,Inativo Transitável,21:41,22:11,R. VICTORIO SANTIM, BAIRRO/CENTRO, R. ITALINA
21,2020-10-19,1,Mooca,Inativo Transitável,16:25,18:30,AV. CELSO GARCIA, CENTRO/BAIRRO, PÇ. MAJ. GUILHERME RUDGE
22,2020-10-19,1,Penha,Inativo Transitável,16:35,01:14,R. DR LUIZ AYRES (ARTUR ALVIM), BAIRRO/CENTRO, TN AGUIA DE HAIA
23,2020-10-19,1,Vila Prudente,Inativo Intransitável,17:30,17:35,R. GOMES, BAIRRO/CENTRO, R. SOLIDONIO LEITE
24,2020-10-19,1,Santo Amaro,Inativo Transitável,18:52,21:02,AV. NSRA. DE. SABARA, BAIRRO/CENTRO, ALTURA DO NÚMERO 2769
25,2020-10-20,1,Casa Verde,Inativo Intransitável,15:32,17:00,PC. DEL AMOROSO NETO (CASA VERDE), AMBOS, AV ORDEM E PROGRESSO
26,2020-10-20,1,Casa Verde,Inativo Transitável,15:33,17:00,R. CÉSAR PENNA RAMOS, AMBOS, ALTURA DO N. 70
27,2020-10-20,1,Casa Verde,Inativo Intransitável,15:40,17:00,R. QUIRINÓPOLIS, AMBOS, AV. IMIRIM
28,2020-10-20,1,Casa Verde,Inativo Transitável,15:45,23:51,MARGINAL TIETE, A SENNA/CASTELO B - EXP, PTE DA CASA VERDE-JORN.WALTER ABRAHAO
29,2020-10-20,1,Casa Verde,Inativo Intransitável,15:47,16:28,AV. ORDEM E PROGRESSO, AMBOS, R. SAMARITA
30,2020-10-20,1,Casa Verde,Inativo Intransitável,16:07,21:57,AV. INAJAR DE SOUZA (BRASILANDIA), FREGUESIA/LAPA, ALTURA DO NÚMERO 2505
31,2020-10-20,1,Freguesia do Ó,Inativo Transitável,15:33,16:37,AV. GAL EDGAR FACO (FREGUESIA DO O), AMBOS, AV PAULA FERREIRA
32,2020-10-20,1,Jaçanã/ Tremembé,Inativo Intransitável,15:30,17:00,R. CONCHILIA, AMBOS, TRAV. CORRENTINOS
33,2020-10-20,1,Jaçanã/ Tremembé,Inativo Intransitável,18:25,18:31,AV. ANTONELO DA MESSINA, ÚNICO, R. MARIA AMALIA LOPES AZEVEDO
34,2020-10-20,1,Jaçanã/ Tremembé,Inativo Transitável,18:27,18:32,AV. ANTONELO DA MESSINA, AMBOS, R. USHIKICHI KAMIYA
35,2020-10-20,1,Jaçanã/ Tremembé,Inativo Transitável,18:30,19:26,R. USHIKICHI KAMIYA, AMBOSA, R. TARSO DE CASTRO
36,2020-10-20,1,Jaçanã/ Tremembé,Inativo Transitável,18:33,19:27,AV. CEL. SEZEFREDO FAGUNDES, AMBOS, R. MARIA AMALIA LOPES AZEVEDO
37,2020-10-20,1,Jaçanã/ Tremembé,Inativo Transitável,18:34,19:26,AV. CEL. SEZEFREDO FAGUNDES, AMBOS, AV. MARIO PERNAMBUCO
38,2020-10-20,1,Pirituba/Jaraguá,Inativo Intransitável,15:54,20:30,PC. FENELON GUEDES PEREIRA (SAO DOMINGOS), UNICO, PSS FANDI CHAQUIB KALIL
39,2020-10-20,1,Santana,Inativo Intransitável,15:38,18:32,AV. CRUZEIRO DO SUL (BOM RETIRO), SANTANA/IPIRANGA, R ALFREDO GUEDES
40,2020-10-20,1,Santana,Inativo Intransitável,15:38,15:55,AV. ZAKI NARCHI (SANTANA), CENTRO/BAIRRO, R URUPIARA
41,2020-10-20,1,Sé,Inativo Transitável,15:33,15:43,AV. PRES CASTELO BRANCO (BARRA FUNDA), CASTELO B/A SENNA - LOCAL, PTE DAS BANDEIRAS SEN ROMEU TUMA
42,2020-10-20,1,Sé,Inativo Transitável,15:38,15:43,MARGINAL TIETE, CASTELO B/A SENNA - CENTRAL, PTE DAS BANDEIRAS SEN ROMEU TUMA
43,2020-10-20,1,Sé,Inativo Intransitável,15:52,16:39,PC. DA BANDEIRA (REPUBLICA), CENTRO/BAIRRO, PQ ANHANGABAU
44,2020-10-20,1,Sé,Inativo Intransitável,16:01,16:12,PC. QUATORZE BIS (BELA VISTA), AMBOS, R MANOEL DUTRA
45,2020-10-20,1,Sé,Inativo Transitável,16:07,17:03,AV. SANTOS DUMONT (BOM RETIRO), AEROPORTO/SANTANA, R GUAPORE
46,2020-10-20,1,Butantã,Inativo Transitável,15:50,23:14,MARGINAL PINHEIROS, CASTELO/INTERLAGOS, AV ESCOLA POLITECNICA
47,2020-10-20,1,Lapa,Inativo Transitável,15:30,16:37,AV. MARQ DE SAO VICENTE (BARRA FUNDA), AMBOS, PC PASCOAL MARTINS
48,2020-10-20,1,Lapa,Inativo Intransitável,15:45,17:04,R. BR DO BANANAL (PERDIZES), UNICO, R VENANCIO AIRES
49,2020-10-20,1,Lapa,Inativo Intransitável,15:57,17:21,AV. POMPEIA (BARRA FUNDA), AMBOS, R PALESTRA ITALIA
50,2020-10-20,1,Pinheiros,Inativo Transitável,08:51,11:04,VD. ENG ANTONIO MOLITERNO (ITAIM BIBI), BAIRRO/CENTRO, VDO CAMPO BELO
51,2020-10-20,1,Pinheiros,Inativo Transitável,15:53,20:26,MARGINAL PINHEIROS, INTERLAGOS/CASTELO - LOCAL, R. OLIVIA FEDER
52,2020-10-20,1,Pinheiros,Inativo Transitável,16:01,20:25,MARGINAL PINHEIROS, INTERLAGOS/CASTELO - LOCAL, PTE ENG ROBERTO ROSSI ZUCCOLO
53,2020-10-20,1,Pinheiros,Inativo Intransitável,16:16,17:31,AV. STO AMARO (CAMPO BELO), CENTRO/BAIRRO, R ASSIS BRASIL
54,2020-10-20,1,Pinheiros,Inativo Intransitável,16:21,17:27,PC. FENELON GUEDES PEREIRA, ÚNICO, AV. ELISIO CORDEIRO DE SIQUEIRA
