Pacote,Subprefeitura,coluna,tt_chuva,tt_seco_mod,Viagens excluidas,tempo_execucao_chuva,tempo_execucao_mod,Subprefeitura
Pacote_31,SAO MATEUS,tt_pct31.0_h_5184000,7.148551463101288,7.148551463101288,0,0.5592329502105713,0.4224870204925537,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5263200,7.148551463101288,7.148551463101288,0,0.5261998176574707,0.4198272228240967,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5227200,7.148551463101288,7.148551463101288,0,0.5785348415374756,0.41821813583374023,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5259600,7.148551463101288,7.148551463101288,0,0.550678014755249,0.41929101943969727,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5216400,7.148551463101288,7.148551463101288,0,0.5547142028808594,0.4207279682159424,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5187600,7.148551463101288,7.148551463101288,0,0.5073866844177246,0.5200948715209961,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5238000,7.148551463101288,7.148551463101288,0,0.5414538383483887,0.41822314262390137,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5202000,7.148551463101288,7.148551463101288,0,0.5282368659973145,0.42311930656433105,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5223600,7.148551463101288,7.148551463101288,0,0.5561699867248535,0.42464613914489746,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5241600,7.148551463101288,7.148551463101288,0,0.5568580627441406,0.41831207275390625,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5205600,7.148551463101288,7.148551463101288,0,0.5437390804290771,0.41666507720947266,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5194800,7.148551463101288,7.148551463101288,0,0.5222692489624023,0.4196619987487793,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5248800,7.148551463101288,7.148551463101288,0,0.5496499538421631,0.4187960624694824,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5266800,7.148551463101288,7.148551463101288,0,0.5139069557189941,0.4201090335845947,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5220000,7.148551463101288,7.148551463101288,0,0.54833984375,0.4212150573730469,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5198400,7.148551463101288,7.148551463101288,0,0.55253005027771,0.4173891544342041,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5191200,7.148551463101288,7.148551463101288,0,0.5245170593261719,0.4318721294403076,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5234400,7.148551463101288,7.148551463101288,0,0.5406370162963867,0.41953086853027344,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5230800,7.148551463101288,7.148551463101288,0,0.5538301467895508,0.41681718826293945,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5270400,7.148551463101288,7.148551463101288,0,0.5533468723297119,0.42101001739501953,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5245200,7.148551463101288,7.148551463101288,0,0.5280661582946777,0.4303281307220459,SAO MATEUS
Pacote_31,SAO MATEUS,tt_pct31.0_h_5212800,7.148551463101288,7.148551463101288,0,0.5472691059112549,0.42075181007385254,SAO MATEUS
