Pacote,Subprefeitura,coluna,tt_chuva,tt_seco_mod,Viagens excluidas,tempo_execucao_chuva,tempo_execucao_mod,Subprefeitura
Pacote_01,SAO MATEUS,tt_pct1_h_2710800,7.148551463101288,7.148551463101288,0,0.5558207035064697,0.4371190071105957,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2736000,7.945109758072562,7.148551463101288,0,0.511242151260376,0.49476099014282227,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2700000,7.148551463101288,7.148551463101288,0,0.500006914138794,0.44927310943603516,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2750400,7.922168217727185,7.148551463101288,0,0.6013319492340088,0.4479212760925293,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2718000,7.148551463101288,7.148551463101288,0,0.4911370277404785,0.4597938060760498,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2721600,7.148678835102006,7.148551463101288,0,0.47249889373779297,0.44762706756591797,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2757600,8.127233580922628,7.148551463101288,0,0.4821159839630127,0.4365561008453369,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2692800,7.148551463101288,7.148551463101288,0,0.49758195877075195,0.46628499031066895,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2764800,8.13300635145189,7.148551463101288,0,0.4716928005218506,0.4528830051422119,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2761200,8.155119025711963,7.148551463101288,0,0.715418815612793,0.49994707107543945,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2725200,7.275002762988185,7.148551463101288,0,0.4909677505493164,0.44968605041503906,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2696400,7.148551463101288,7.148551463101288,0,0.4684727191925049,0.43898916244506836,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2768400,7.950286720683346,7.148551463101288,0,0.4861009120941162,0.4349057674407959,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2707200,7.148551463101288,7.148551463101288,0,0.5235116481781006,0.4927399158477783,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2728800,7.591542180008293,7.148551463101288,0,0.5696730613708496,0.6475512981414795,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2746800,8.018821817608636,7.148551463101288,0,0.7999148368835449,0.5447180271148682,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2754000,7.924394209456724,7.148551463101288,0,0.5458149909973145,0.5292251110076904,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2743200,8.063226807926862,7.148551463101288,0,0.525609016418457,0.4598391056060791,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2739600,7.901195419190668,7.148551463101288,0,0.5014641284942627,0.46648597717285156,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2714400,7.148551463101288,7.148551463101288,0,0.5108270645141602,0.7604470252990723,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2732400,7.953420307944671,7.148551463101288,0,0.5244481563568115,0.5989151000976562,SAO MATEUS
Pacote_01,SAO MATEUS,tt_pct1_h_2703600,7.148551463101288,7.148551463101288,0,0.5411190986633301,0.5131089687347412,SAO MATEUS
Pacote_02,SAO MATEUS,tt_pct2_h_2844000,8.589526305266777,7.148551463101288,0,0.5924689769744873,0.4289662837982178,SAO MATEUS
Pacote_02,SAO MATEUS,tt_pct2_h_2790000,7.148551463101288,7.148551463101288,0,0.43979597091674805,0.42197608947753906,SAO MATEUS
Pacote_02,SAO MATEUS,tt_pct2_h_2818800,7.947393911135131,7.148551463101288,0,0.44674015045166016,0.42261385917663574,SAO MATEUS
Pacote_02,SAO MATEUS,tt_pct2_h_2836800,8.179464144534217,7.148551463101288,0,0.47386693954467773,0.4253110885620117,SAO MATEUS
Pacote_02,SAO MATEUS,tt_pct2_h_2851200,7.978819815080829,7.148551463101288,0,0.48421287536621094,0.4238560199737549,SAO MATEUS
Pacote_02,SAO MATEUS,tt_pct2_h_2811600,7.3187295305227416,7.148551463101288,0,0.5286591053009033,0.4365708827972412,SAO MATEUS
Pacote_02,SAO MATEUS,tt_pct2_h_2800800,7.148551463101288,7.148551463101288,0,0.44521117210388184,0.4212300777435303,SAO MATEUS
Pacote_02,SAO MATEUS,tt_pct2_h_2833200,8.207631368476365,7.148551463101288,0,0.5120351314544678,0.4209940433502197,SAO MATEUS
Pacote_02,SAO MATEUS,tt_pct2_h_2797200,7.148551463101288,7.148551463101288,0,0.4568808078765869,0.4226100444793701,SAO MATEUS
