Pacote,Subprefeitura,coluna,tt_chuva,tt_seco_mod,Viagens excluidas,tempo_execucao_chuva,tempo_execucao_mod,Subprefeitura
Pacote_41,SAO MATEUS,tt_pct41.0_h_705600,8.463931901868126,7.148551463101288,0,0.5995309352874756,0.4232180118560791,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_712800,8.261744097981842,7.148551463101288,0,0.7406609058380127,0.42524194717407227,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_727200,8.066549975609117,7.148551463101288,0,0.7023530006408691,0.42282915115356445,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_756000,8.441764339761608,7.148551463101288,0,0.7042770385742188,0.4224119186401367,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_774000,8.421299155877486,7.148551463101288,0,0.7302200794219971,0.470196008682251,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_770400,8.049567867556183,7.148551463101288,0,0.6721222400665283,0.42323780059814453,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_766800,8.10699126704322,7.148551463101288,0,0.7062661647796631,0.4232048988342285,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_694800,7.2962928022227365,7.148551463101288,0,0.6169102191925049,0.4239070415496826,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_777600,8.099500999077009,7.148551463101288,0,0.7325050830841064,0.4253871440887451,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_723600,8.109835667573018,7.148551463101288,0,0.6729609966278076,0.4243018627166748,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_709200,8.433530869856382,7.148551463101288,0,0.7287900447845459,0.4229886531829834,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_738000,8.22546697631393,7.148551463101288,0,0.6983389854431152,0.425616979598999,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_748800,8.475951588825314,7.148551463101288,0,0.7133841514587402,0.4246189594268799,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_759600,8.065759544209028,7.148551463101288,0,0.7499997615814209,0.42566895484924316,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_741600,8.412538656704996,7.148551463101288,0,0.7624280452728271,0.423480749130249,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_752400,8.552341435518105,7.148551463101288,0,0.7814939022064209,0.42620420455932617,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_702000,8.015967650088216,7.148551463101288,0,0.6737821102142334,0.42604899406433105,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_745200,8.354772037860966,7.148551463101288,0,0.6554090976715088,0.42830991744995117,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_734400,8.066514613731732,7.148551463101288,0,0.6892437934875488,0.42633891105651855,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_691200,7.148551463101288,7.148551463101288,0,0.7214818000793457,0.4237360954284668,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_730800,8.091103274455559,7.148551463101288,0,0.7398688793182373,0.4242238998413086,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_763200,8.167018827883833,7.148551463101288,0,0.7081778049468994,0.42465782165527344,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_720000,8.093218542822415,7.148551463101288,0,0.6432628631591797,0.4274280071258545,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_698400,7.876212507208938,7.148551463101288,0,0.645097017288208,0.42311930656433105,SAO MATEUS
Pacote_41,SAO MATEUS,tt_pct41.0_h_716400,8.118112387942874,7.148551463101288,0,0.6777398586273193,0.4237658977508545,SAO MATEUS
Pacote_42,SAO MATEUS,tt_pct42.0_h_846000,7.725233424508417,7.148551463101288,0,0.6671657562255859,0.42429590225219727,SAO MATEUS
