,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2019-01-01,1,Perus,Inativo Intransitável,17:16,22:29,R. CRISPIM DO AMARAL, CENTRO/BAIRRO, ALTURA DO NÚMERO 102
1,2019-01-01,1,Perus,Inativo Intransitável,17:33,22:29,PÇ INACIO DIAS, AMBOS, RUA CRISPIM DO AMARAL
2,2019-01-01,1,Perus,Inativo Intransitável,18:01,22:29,RUA FRANCIS DE CASTELNAU, AMBOS, ALTURA DO NUMERO 10
3,2019-01-01,1,Perus,Inativo Intransitável,19:04,21:09,AV. RAIMUNDO PEREIRA DE MAGALHAES, CENTRO/BAIRRO, ALTURA DO NÚMERO 16271
4,2019-01-01,1,Sé,Inativo Intransitável,18:34,19:23,PC. DA BANDEIRA, CENTRO/BAIRRO, AV. VINTE E TRES DE MAIO
5,2019-01-01,1,Pinheiros,Inativo Transitável,19:52,21:00,AV. DAS NACOES UNIDAS, INTERLAGOS/CASTELO, AV QUEIROZ FILHO
6,2019-01-01,1,Itaquera,Inativo Transitável,16:25,17:23,AV. JACU PESSEGO N TRABALHADORES, MAUA/A SENNA, R. MONTANHAS
7,2019-01-01,1,Itaquera,Inativo Transitável,18:20,18:26,AV. JACU PESSEGO N TRABALHADORES, A SENNA/MAUA, R. RAINHA-DA-NOITE
8,2019-01-01,1,Itaquera,Inativo Transitável,19:21,17:23,AV. JACU PESSEGO N TRABALHADORES, MAUA/A SENNA - LOCAL, R. MONTANHAS
9,2019-01-01,1,Itaim Paulista,Inativo Intransitável,16:12,17:30,RUA MANUEL B. DE LIMA, AMBOS, SEM NUMERO
10,2019-01-01,1,Mooca,Inativo Transitável,19:19,19:32,AV. SALIM FARAH MALUF, MARGINAL/V PRUDENTE - EXPRESSA, R. DEMETRIO RIBEIRO
11,2019-01-02,1,Itaquera,Inativo Transitável,15:05,15:22,AV. ADRIANO BERTOZZI, CENTRO/BAIRRO, ALTURA DO NÚMERO 125
12,2019-01-03,1,Sé,Inativo Transitável,17:27,17:42,PC. DA. BANDEIRA, CENTRO/BAIRRO, ALTURA DO NÚMERO 27
13,2019-01-03,1,Sé,Inativo Transitável,19:43,20:18,AV. VINTE E TRES DE MAIO (LIBERDADE), SANTANA/AEROPORTO, PC DA BANDEIRA
14,2019-01-03,1,Sé,Inativo Transitável,19:52,20:04,TN. PAPA JOAO PAULO II (REPUBLICA), SANTANA/AEROPORTO, AV PRESTES MAIA
15,2019-01-03,1,Sé,Inativo Intransitável,19:56,21:00,AV. PRES CASTELO BRANCO (BARRA FUNDA), CASTELO B/A SENNA, VD ENG JOAO BIRMAN
16,2019-01-04,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,15:11,15:54,R. CHICO PONTES, UNICO, ALTURA DO NÚMERO 1349
17,2019-01-04,1,Sé,Inativo Transitável,14:45,15:03,R. DA. CANTAREIRA, BAIRRO/CENTRO, AV. MERCURIO
18,2019-01-04,1,Sé,Inativo Transitável,15:04,15:53,R. PAULA SOUSA, AMBOS - LOCAL, AV DO ESTADO
19,2019-01-04,1,Sé,Inativo Transitável,15:56,17:56,a 17:56AV. MERCURIO, UNICO, PC. S. VITO
20,2019-01-04,1,Sé,Inativo Transitável,17:52,19:30,AV. SEN. QUEIROS, UNICO, ALTURA DO NÚMERO 587
21,2019-01-04,1,Lapa,Inativo Transitável,15:53,18:49,PC. PASCOAL MARTINS, BAIRRO/CENTRO, AV. MARQ. DE. SAO VICENTE
22,2019-01-04,1,Pinheiros,Inativo Transitável,15:15,15:33,MARGINAL PINHEIROS, INTERLAGOS/CASTELO - EXPRESSA, PTE ENG ARY TORRES
23,2019-01-04,1,Mooca,Inativo Transitável,14:59,15:22,MARGINAL TIETE, CASTELO B/A SENNA - CENTRAL, PTE PRES JANIO QUADROS
24,2019-01-04,1,Mooca,Inativo Transitável,18:41,19:10,AV. CELSO GARCIA, AMBOS, PC MAJ GUILHERME RUDGE
25,2019-01-04,1,Vila Prudente,Inativo Transitável,18:20,19:00,R.JOSÉ ZAPPI, AMBOS, ALTURA DO NUMERO 165
26,2019-01-04,1,Campo Limpo,Inativo Transitável,14:26,15:25,AV. MAGALHAES DE CASTRO, CASTELO/INTERLAGOS - LOCAL, PTE DO MORUMBI CAIO POMPEU DE TOLEDO
27,2019-01-04,1,M'Boi Mirim,Inativo Transitável,14:26,16:31,PC. DOM. FRANCISCO DE SOUSA, CENTRO/BAIRRO, AV. VITOR MANZINI
28,2019-01-04,1,Santo Amaro,Inativo Transitável,14:25,15:25,a 15:25MARGINAL PINHEIROS, CAST B/INT - EXP, PONTE DO MORUMBI
29,2019-01-04,1,Santo Amaro,Inativo Transitável,14:34,15:27,AV. DAS NACOES UNIDAS, INTERLAGOS/CASTELO - LOCAL, PTE TRANSAMERICA
30,2019-01-04,1,Santo Amaro,Inativo Transitável,14:47,15:03,AV. ROQUE PETRONI JUNIOR, AMBOS, R. CANCIONEIRO POPULAR
