,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2015-07-03,1,Casa Verde,Inativo Intransitável,06:43,08:16,R CEL EUCLIDES MACHADO, AMBOS, ALTURA DO NÚMERO 93
1,2015-07-03,1,Casa Verde,Inativo Transitável,08:23,09:20,MARGINAL TIETE, AS/CB - CENTRAL, PTE GOV ORESTES QUERCIA
2,2015-07-03,1,Casa Verde,Inativo Transitável,18:43,07:08,AV PRES CASTELO BRANCO, AMBOS, PTE ADHEMAR FERREIRA DA SILVA
3,2015-07-03,1,Freguesia do Ó,Inativo Transitável,12:46,14:21,AV INAJAR DE SOUZA, LAPA/FREGUESIA, R EDMUNDO KRUG
4,2015-07-03,1,Sé,Inativo Intransitável,05:36,06:21,PC DA BANDEIRA, BAIRRO/CENTRO, AV VINTE E TRES DE MAIO
5,2015-07-03,1,Sé,Inativo Transitável,06:15,07:30,VD DO GLICERIO, LAPA/PENHA, ALTURA DO NÚMERO 812
6,2015-07-03,1,Sé,Inativo Transitável,06:34,07:38,VD LESTE-OESTE, LAPA/PENHA, R GLICERIO
7,2015-07-03,1,Sé,Inativo Transitável,07:03,10:23,"AV CRUZEIRO DO SUL,", SANTANA/IPIRANGA, R TAPAJOS
8,2015-07-03,1,Sé,Inativo Transitável,07:27,10:12,AV SANTOS DUMONT, AEROPORTO/SANTANA, ALTURA DO NÚMERO 560
9,2015-07-03,1,Sé,Inativo Transitável,07:47,12:00,R PORTO SEGURO, AMBOS, R PORTO CALVO
10,2015-07-03,1,Sé,Inativo Transitável,08:45,12:35,AV CRUZEIRO DO SUL, IPIRANGA/SANTANA, ALTURA DO NÚMERO 548
11,2015-07-03,1,Sé,Inativo Transitável,11:35,14:20,R GLICERIO, SENTIDO UNICO, R OSCAR CINTRA GODINHO
12,2015-07-03,1,Sé,Inativo Intransitável,14:26,07:56,AV RIO BRANCO, BAIRRO/CENTRO, AV DUQ.DE CAXIAS
13,2015-07-03,1,Sé,Inativo Intransitável,15:00,17:30,AV RIO BRANCO, BAIRRO/CENTRO, R DOS TIMBIRAS
14,2015-07-03,1,Sé,Inativo Intransitável,16:39,07:56,AV RIO BRANCO, BAIRRO/CENTRO, ALTURA DO NÚMERO 237
15,2015-07-03,1,Butantã,Inativo Intransitável,06:29,10:26,AV VITAL BRASIL, BAIRRO/CENTRO, R CAMARGO
16,2015-07-03,1,Butantã,Inativo Transitável,08:04,10:27,"AV VITAL BRASIL,", BAIRRO/CENTRO, AV PROF FRANCISCO MORATO
17,2015-07-03,1,Butantã,Inativo Intransitável,13:51,15:16,R CAMARGO, UNICO, AV VITAL BRASIL
18,2015-07-03,1,Pinheiros,Inativo Intransitável,13:50,16:43,AV MAGALHAES DE CASTRO, CASTELO/INTERLAGOS, PTE EUSEBIO MATOSO
19,2015-07-03,1,Pinheiros,Inativo Transitável,15:07,16:43,R HUNGRIA, INTERLAGOS/CASTELO, ALTURA DO NÚMERO 1261
20,2015-07-03,1,Itaquera,Inativo Transitável,07:11,09:00,"AV JACU-PESSEGO N TRABALHADORES,", MAUA/A SENNA, R MONTANHAS
21,2015-07-03,1,Mooca,Inativo Intransitável,06:40,08:22,"AV CELSO GARCIA,", CENTRO/BAIRRO, R JOSE DE ALENCAR
22,2015-07-03,1,Mooca,Inativo Transitável,14:59,17:50,AV SALIM FARAH MALUF, MARGINAL/V PRUDENTE, ALTURA DO NÚMERO 2000
23,2015-07-03,1,Penha,Inativo Transitável,13:57,16:41,VD DOMINGOS FRANCIULLI NETO, UNICO, AV MORVAN DIAS DE FIGUEIREDO
24,2015-07-03,1,Campo Limpo,Inativo Transitável,08:06,09:52,"ES DO CAMPO LIMPO,", BAIRRO/CENTRO, R GUILHERME MAINARD
25,2015-07-03,1,Santo Amaro,Inativo Transitável,05:14,06:07,TN PAULO AUTRAN, CENTRO/BAIRRO, ALTURA DO NÚMERO 3
26,2015-07-03,1,Santo Amaro,Inativo Transitável,05:24,07:48,VD VER JOSE DINIZ, CENTRO/BAIRRO, ALTURA DO NÚMERO 1
27,2015-07-03,1,Santo Amaro,Inativo Transitável,05:34,07:47,"AV VER JOSE DINIZ,", CENTRO/BAIRRO, R JOSE DOS SANTOS JUNIOR
28,2015-07-03,1,Santo Amaro,Inativo Transitável,12:23,14:22,AV N SRA. DO SABARA, BAIRRO/CENTRO, AV INTERLAGOS
29,2015-07-07,1,Lapa,Inativo Transitável,10:09,11:41,R TURIASSU, UNICO, ALTURA DO NÚMERO 1643
30,2015-07-08,1,Butantã,Inativo Transitável,07:11,07:27,AV VITAL BRASIL, BAIRRO/CENTRO, R CAMARGO
31,2015-07-08,1,Butantã,Inativo Transitável,07:12,07:27,AV CORIFEU DE AZEVEDO MARQUES, BAIRRO/CENTRO, ALTURA DO NÚMERO 2833
32,2015-07-08,1,Butantã,Inativo Transitável,10:02,12:51,R CAMARGO, UNICO, R SAPETUBA
33,2015-07-24,1,Sé,Inativo Transitável,19:29,19:40,"PC DA BANDEIRA,", CENTRO/BAIRRO, R S FRANCISCO
34,2015-07-24,1,Sé,Inativo Transitável,19:33,19:40,"PC DA BANDEIRA,", CENTRO/BAIRRO, R DO OUVIDOR
35,2015-07-25,1,Pinheiros,Inativo Transitável,09:48,11:16,MARGINAL PINHEIROS PISTA EXPRESSA, INTERLAGOS/CASTELO, PONTE ENG ROBERTO ZUCCOLO
36,2015-07-25,1,Santo Amaro,Inativo Intransitável,10:50,21:48,"R BRASILIO LUZ,", UNICO, 329
37,2015-07-25,1,Santo Amaro,Inativo Transitável,11:05,14:50,"AV WASHINGTON LUIS,", BAIRRO/CENTRO, 231
38,2015-08-27,1,Sé,Inativo Transitável,10:30,14:25,MARGINAL TIETE, CB/AS - CENTRAL, PONTE CRUZEIRO DO SUL
39,2015-08-27,1,Sé,Inativo Transitável,11:25,17:04,AV SÃO JOÃO, B/C, AL NOTHMANN
40,2015-08-27,1,Sé,Inativo Transitável,13:08,13:35,AV RIO BRANCO, B/C, R DOS TIMBIRAS
41,2015-08-27,1,Sé,Inativo Intransitável,16:46,16:57,AV RIO BRANCO, B/C, ALTURA DO NÚMERO 219
42,2015-08-27,1,Butantã,Inativo Intransitável,09:07,15:30,AV DO RIO PEQUENO, B/C, R MILTON DE SOUZA QUINTINO
43,2015-08-27,1,Butantã,Inativo Intransitável,11:44,14:05,AV VITAL BRASIL, B/C, R CAMARGO
44,2015-08-27,1,Butantã,Inativo Intransitável,11:46,14:05,AV VITAL BRASIL, B/C, AV PROF FRANCISCO MORATO
45,2015-08-27,1,Mooca,Inativo Transitável,10:51,11:00,MARGINAL TIETE, CASTELO B/A SENNA - CENTRAL, R CATUMBI
46,2015-09-07,1,Santana,Inativo Transitável,15:35,19:00,AV SANTOS DUMONT, AEROPORTO/SANTANA, ALTURA DO NÚMERO 560
47,2015-09-07,1,Butantã,Inativo Transitável,16:11,16:35,"AV EUSEBIO MATOSO,", CENTRO/BAIRRO, PC JORGE DE LIMA
48,2015-09-07,1,Butantã,Inativo Transitável,19:42,01:05,"AV VITAL BRASIL,", BAIRRO/CENTRO, R CAMARGO
49,2015-09-08,1,Casa Verde,Inativo Transitável,15:41,21:46,AV PRES CASTELO BRANCO, CASTELO B/A SENNA, PTE ADHEMAR FERREIRA DA SILVA
50,2015-09-08,1,Santana,Inativo Transitável,18:41,18:49,AV LUIZ DUMONT VILLARES, CENTRO/BAIRRO, ALTURA DO NÚMERO 392
51,2015-09-08,1,Sé,Inativo Transitável,06:03,18:50,AV RIO BRANCO, BAIRRO/CENTRO, PC PRINCESA ISABEL
52,2015-09-08,1,Sé,Inativo Transitável,08:41,13:38,VD DR PLINIO DE QUEIROZ, CENTRO/BAIRRO, ALTURA DO NÚMERO 656
53,2015-09-08,1,Sé,Inativo Transitável,09:33,15:58,R DOS PATRIOTAS, BAIRRO/CENTRO - ÚNICA, AV DO ESTADO
54,2015-09-08,1,Sé,Inativo Transitável,12:35,18:50,"AV RIO BRANCO,", BAIRRO/CENTRO, AV DUQ.DE CAXIAS
55,2015-09-08,1,Sé,Inativo Intransitável,14:53,19:44,AV RIO BRANCO, AMBOS, ALTURA DO NÚMERO 217
56,2015-09-08,1,Sé,Inativo Transitável,15:54,20:13,R MARIA LEOCADIA, UNICO, ALTURA DO NÚMERO 61
57,2015-09-08,1,Sé,Inativo Transitável,17:14,18:49,AV SANTOS DUMONT, AEROPORTO/SANTANA, ALTURA DO NÚMERO 560
58,2015-09-08,1,Sé,Inativo Transitável,18:26,18:48,"R BARÃO DE PORTO CARREIRO,", AMBOS, AV RUDGE
59,2015-09-08,1,Sé,Inativo Transitável,20:02,20:04,"AV CRUZEIRO DO SUL,", SANTANA/IPIRANGA, R LUIS PACHECO
60,2015-09-08,1,Sé,Inativo Intransitável,20:07,03:14,"AV CRUZEIRO DO SUL,", SANTANA/IPIRANGA, R TAPAJOS
61,2015-09-08,1,Sé,Inativo Transitável,20:37,13:51,R PORTO SEGURO, ÚNICO, R PORTO CALVO
62,2015-09-08,1,Sé,Inativo Transitável,20:37,13:51,R PORTO SEGURO, UNICO, R PORTO CALVO
63,2015-09-08,1,Butantã,Inativo Transitável,07:36,20:59,"AV VITAL BRASIL,", BAIRRO/CENTRO, PC JORGE DE LIMA
64,2015-09-08,1,Butantã,Inativo Transitável,07:52,13:06,"AV VITAL BRASIL,", BAIRRO/CENTRO, R PIRAJUSSARA
65,2015-09-08,1,Butantã,Inativo Transitável,08:52,13:35,AV ENG HEITOR ANTONIO EIRAS GARCIA, BAIRRO/CENTRO, ALTURA DO NÚMERO 5985
66,2015-09-08,1,Butantã,Inativo Intransitável,12:57,23:05,AV VITAL BRASIL, BAIRRO/CENTRO, R CAMARGO
67,2015-09-08,1,Butantã,Inativo Transitável,16:06,03:02,AV MAGALHAES DE CASTRO, CASTELO/INTERLAGOS - LOCAL, PTE CAIO POMPEU DE TOLEDO
68,2015-09-08,1,Butantã,Inativo Transitável,16:12,20:58,AV CORIFEU DE AZEVEDO MARQUES, CENTRO/BAIRRO, R JOSE ALVES CUNHA LIMA
69,2015-09-08,1,Butantã,Inativo Transitável,16:12,21:00,AV VITAL BRASIL, BAIRRO/CENTRO, AV PIRAJUSSARA
70,2015-09-08,1,Butantã,Inativo Intransitável,17:06,20:52,MARGINAL PINHEIROS, INTERLAGOS/CASTELO - ESPRESSA, PTE EUSEBIO MATOSO
71,2015-09-08,1,Butantã,Inativo Transitável,17:41,19:39,R JOSE FELIX, CPO LIMPO/F MORATO, ALTURA DO NÚMERO 105
72,2015-09-08,1,Butantã,Inativo Transitável,19:41,19:24,"AV PROF FRANCISCO MORATO,", BAIRRO/CENTRO - NÃO INFORMADO, R IBIAPABA
73,2015-09-08,1,Butantã,Inativo Intransitável,20:38,20:15,AV MAGALHAES DE CASTRO, CASTELO/INTERLAGOS - LOCAL, PTE ENG ARY TORRES
74,2015-09-08,1,Lapa,Inativo Transitável,14:52,18:53,"R DA DESPEDIDA,", CENTRO/BAIRRO, MARGINAL TIETE
75,2015-09-08,1,Lapa,Inativo Transitável,15:59,02:44,MARGINAL TIETE, A SENNA/CASTELO B - CENTRAL, ALTURA DO NÚMERO 11519
76,2015-09-08,1,Lapa,Inativo Transitável,17:57,18:51,AV NICOLAS BOER, CENTRO/BAIRRO, ALTURA DO NÚMERO 358
77,2015-09-08,1,Lapa,Inativo Transitável,21:19,03:32,MARGINAL TIETE, CASTELO B/A SENNA - CENTRAL, PTE ATTILIO FONTANA
78,2015-09-08,1,Lapa,Inativo Transitável,21:23,03:32,MARGINAL TIETE, CASTELO B/A SENNA - CENTRAL, PTE VELHA FEPASA
79,2015-09-08,1,Pinheiros,Inativo Transitável,16:06,03:24,R AUSTRIA, UNICO, ALTURA DO NÚMERO 611
80,2015-09-08,1,Pinheiros,Inativo Transitável,16:40,18:09,TN MAX FEFFER, CENTRO/BAIRRO, ALTURA DO NÚMERO 1
81,2015-09-08,1,Pinheiros,Inativo Transitável,16:51,20:52,PTE OCTAVIO FRIAS DE OLIVEIRA, BAIRRO/CENTRO, ALTURA DO NÚMERO 2
82,2015-09-08,1,Pinheiros,Inativo Transitável,16:55,18:23,"AV DAS NACOES UNIDAS,", INT/CB - LOCAL, PTE ENG ROBERTO ROSSI ZUCCOLO
83,2015-09-08,1,Pinheiros,Inativo Transitável,20:41,20:52,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO - LOCAL, ALTURA DO NÚMERO 12995
84,2015-09-08,1,Aricanduva/ Vila Formosa,Inativo Intransitável,16:17,17:24,MARGINAL TIETE, CASTELO B/A SENNA - EXPRESSA, PTE DR MIGUEL ARRAES
85,2015-09-08,1,Itaquera,Inativo Transitável,15:09,19:49,AV JOSE PINHEIRO BORGES, CENTRO/BAIRRO, R JOAO RADAIC BENEGULO
86,2015-09-08,1,Itaquera,Inativo Transitável,15:12,19:49,AV JOSE PINHEIRO BORGES, BAIRRO/CENTRO, ALTURA DO NÚMERO 3019
87,2015-09-08,1,Itaquera,Inativo Intransitável,16:06,20:46,"AV ARICANDUVA,", ITAQUERA/MARGINAL, AV AFONSO DE SAMPAIO E SOUSA
88,2015-09-08,1,Mooca,Inativo Transitável,06:27,13:22,AV CELSO GARCIA, CENTRO/BAIRRO, R SALDANHA MARINHO
89,2015-09-08,1,Mooca,Inativo Transitável,14:07,17:39,AV SALIM FARAH MALUF, AMBOS, ALTURA DO NÚMERO 2000
90,2015-09-08,1,Mooca,Inativo Intransitável,16:17,23:03,MARGINAL TIETE, CASTELO B/A SENNA - EXPRESSA, PTE DR MIGUEL ARRAES
91,2015-09-08,1,Mooca,Inativo Intransitável,20:37,21:15,MARGINAL TIETE, CASTELO B/A SENNA - EXPRESSA, PTE DR MIGUEL ARRAES
92,2015-09-08,1,Vila Prudente,Inativo Intransitável,18:27,21:12,AV PROF LUIZ IGNACIO ANHAIA MELLO, SAP/VP, AV DR FRANCISCO MESQUITA
93,2015-09-08,1,Vila Prudente,Inativo Transitável,18:30,19:13,AV PROF LUIZ IGNACIO ANHAIA MELLO, SAPOPEMBA/V PRUDENTE, VD GRANDE SAO PAULO
94,2015-09-08,1,Campo Limpo,Inativo Transitável,16:07,17:01,R ALVES DOS SANTOS, ÚNICO, ALTURA DO NÚMERO 83
95,2015-09-08,1,Campo Limpo,Inativo Transitável,17:43,19:41,R ALVES DOS SANTOS, BAIRRO/CENTRO, ALTURA DO NÚMERO 126
96,2015-09-08,1,Capela do Socorro,Inativo Intransitável,08:11,09:35,"AV ATLANTICA,", BAIRRO/CENTRO, R NICOLAU MAGNOLI
97,2015-09-08,1,Capela do Socorro,Inativo Transitável,08:13,13:00,"AV ATLANTICA,", BAIRRO/CENTRO, AV BERTA WAITMAN
98,2015-09-08,1,Capela do Socorro,Inativo Transitável,08:18,13:00,"AV ATLANTICA,", BAIRRO/CENTRO, R PROF FRANCISCO MAFFEI
99,2015-09-08,1,Capela do Socorro,Inativo Transitável,08:41,17:18,AV DO RIO BONITO, CENTRO/BAIRRO, ALTURA DO NÚMERO 834
100,2015-09-08,1,Santo Amaro,Inativo Intransitável,15:30,20:52,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO - LOCAL, R OLIVIA FEDER
101,2015-09-08,1,Santo Amaro,Inativo Transitável,15:30,21:15,:30 a 21:15R JOAO ALFREDO, BAIRRO/CENTRO, PC DOM FRANCISCO DE SOUSA
102,2015-09-08,1,Santo Amaro,Inativo Transitável,16:44,20:52,MARGINAL PINHEIROS, INTERLAGOS/CASTELO - EXPRESSA, ALTURA DO NÚMERO 10544
103,2015-09-08,1,Santo Amaro,Inativo Transitável,16:51,20:52,PTE OCTAVIO FRIAS DE OLIVEIRA, BAIRRO/CENTRO, ALTURA DO NÚMERO 2
104,2015-09-08,1,Santo Amaro,Inativo Intransitável,16:53,22:28,"AV JORN ROBERTO MARINHO,", AEROPORTO/MARGINAL, PTE OCTAVIO FRIAS DE OLIVEIRA
105,2015-09-08,1,Santo Amaro,Inativo Transitável,17:02,17:33,"AV NSRA.DO SABARA,", BAIRRO/CENTRO, AV INTERLAGOS
106,2015-09-08,1,Santo Amaro,Inativo Transitável,17:09,20:52,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO - LOCAL, AV MARIO LOPES LEAO
107,2015-09-08,1,Santo Amaro,Inativo Transitável,18:00,02:41,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO - LOCAL, R FLORIDA
108,2015-09-08,1,Santo Amaro,Inativo Transitável,21:01,03:00,"R MIGUEL YUNES,", INTERLAGOS/MARGINAL, AV INTERLAGOS
109,2015-09-08,1,Ipiranga,Inativo Intransitável,17:03,17:34,R RIBEIRO LACERDA, AMBOS, AV PROF ABRAAO DE MORAIS
110,2015-09-08,1,Ipiranga,Inativo Intransitável,17:13,17:23,AV BOSQUE DA SAUDE, AMBOS, AV PROF ABRAAO DE MORAIS
111,2015-09-08,1,Ipiranga,Inativo Intransitável,17:18,17:47,R ELISA SILVEIRA, AMBOS, AV PROF ABRAAO DE MORAIS
112,2015-09-08,1,Vila Mariana,Inativo Transitável,09:07,04:21,"R CUBATAO,", BAIRRO/CENTRO, R CORREIA DIAS
113,2015-09-08,1,Vila Mariana,Inativo Transitável,16:51,17:37,"AV RUBEM BERTA,", ST/AER, R DR HABERBECK BRANDAO
114,2015-09-08,1,Vila Mariana,Inativo Intransitável,17:05,17:31,AV IBIRAPUERA, BAIRRO/CENTRO, AV JAMARIS
115,2015-09-08,1,Vila Mariana,Inativo Transitável,19:44,04:21,"R ESTELA,", UNICO, VD TUTOIA
116,2015-09-09,1,Sé,Inativo Intransitável,03:08,06:01,AV CRUZEIRO DO SUL, IPIRANGA/SANTANA, ALTURA DO NÚMERO 548
117,2015-09-09,1,Cidade Ademar,Inativo Transitável,08:26,13:51,AV CUPECE, B/C, ALTURA DO N.5495
118,2015-09-09,1,Campo Limpo,Inativo Transitável,02:05,02:46,R ALVES DOS SANTOS, BAIRRO/CENTRO, ALTURA DO NÚMERO 160
119,2015-09-09,1,Campo Limpo,Inativo Transitável,02:06,09:28,R ALVES DOS SANTOS, BAIRRO/CENTRO, R PROF INDALECIO DE MELO
120,2015-09-09,1,Campo Limpo,Inativo Intransitável,05:58,10:14,R ALVES DOS SANTOS, ÚNICO, ALTURA DO N.168
121,2015-09-10,1,Sé,Inativo Transitável,14:01,14:10,"R CINCINATO BRAGA,", UNICO, R CARLOS SAMPAIO
122,2015-09-10,1,Sé,Inativo Transitável,21:46,07:30,"AV DO ESTADO,", IPIRANGA/SANTANA, AV MERCURIO
123,2015-09-10,1,Butantã,Inativo Transitável,20:33,20:48,"AV DAS NACOES UNIDAS,", CASTELO/INTERLAGOS, PTE ENG ROBERTO ROSSI ZUCCOLO
124,2015-09-10,1,Butantã,Inativo Transitável,23:32,00:14,AV MAGALHAES DE CASTRO, CASTELO/INTERLAGOS - LOCAL, R JOAPE
125,2015-09-10,1,Mooca,Inativo Intransitável,19:10,02:12,"AV DO ESTADO,", SANTANA/IPIRANGA, AV MERCURIO
126,2015-09-11,1,Casa Verde,Inativo Intransitável,19:37,02:20,MARGINAL TIETE, A SENNA/CASTELO B - CENTRAL, PTE GOV ORESTES QUERCIA
127,2015-09-11,1,Perus,Inativo Intransitável,19:13,20:16,PC INACIO DIAS, AMBOS, ALTURA DO NÚMERO 276
128,2015-09-11,1,Santana,Inativo Transitável,04:09,15:24,"AV CRUZEIRO DO SUL,", SANTANA/IPIRANGA, R TAPAJOS
129,2015-09-11,1,Santana,Inativo Transitável,06:59,14:26,"AV ZAKI NARCHI,", CENTRO/BAIRRO, AV OTTO BAUMGART
130,2015-09-11,1,Santana,Inativo Transitável,20:13,21:34,AV GAL ATALIBA LEONEL, CENTRO/BAIRRO, ALTURA DO NÚMERO 656
131,2015-09-11,1,Sé,Inativo Transitável,00:01,15:24,AV CRUZEIRO DO SUL, IPIRANGA/SANTANA, ALTURA DO NÚMERO 490
132,2015-09-11,1,Sé,Inativo Intransitável,00:09,06:00,:09 a 06:00R COMEN FEIZ ZARZUR, CENTRO/BAIRRO, ALTURA DO NÚMERO 1219
133,2015-09-11,1,Sé,Inativo Transitável,01:52,06:42,AV DO ESTADO, SANTANA/IPIRANGA, AV MERCURIO
134,2015-09-11,1,Sé,Inativo Transitável,02:26,05:36,"AV RIO BRANCO,", CENTRO/BAIRRO, AV DUQ.DE CAXIAS
135,2015-09-11,1,Sé,Inativo Transitável,02:30,05:36,"AV RIO BRANCO,", CENTRO/BAIRRO, AV IPIRANGA
136,2015-09-11,1,Sé,Inativo Transitável,02:33,06:01,"AL GLETE,", UNICO, R BR.DE CAMPINAS
