,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2018-04-01,1,Butantã,Inativo Transitável,10:44,14:13,AV. LINEU DE PAULA MACHADO, USP/JOQUEI, ALTURA DO NÚMERO 1174
1,2018-04-03,1,Itaquera,Inativo Intransitável,15:01,15:38,TUNEL AGUIA DE HAIA, AMBOS, TUNEL AGUIA DE HAIA
2,2018-04-04,1,Itaquera,Inativo Transitável,18:07,20:08,AV. JACU PESSEGO N TRABALHADORES, MAUA/A SENNA, VD. PREF. JOSE CARLOS DE F. FERRAZ
3,2018-04-15,1,Pinheiros,Inativo Intransitável,12:09,13:03,AV. DAS. NACOES UNIDAS, INTERLAGOS/CASTELO - LOCAL, PTE ROBERTO ROSSI ZUCOLLO
4,2018-04-15,1,Pinheiros,Inativo Transitável,13:02,13:39,AV. DAS. NACOES UNIDAS, INTERLAGOS/CASTELO - EXPRESSA, PTE. DO. MORUMBI CAIO POMPEU DE TOLEDO
5,2018-04-15,1,Sapopemba,Inativo Transitável,16:31,18:21,AV. PROF LUIZ IGNACIO ANHAIA MELLO, SAPOPEMBA/V PRUDENTE, R JOSE JOAQUIM
6,2018-04-15,1,Santo Amaro,Inativo Transitável,12:50,12:58,AV. DAS. NACOES UNIDAS, CASTELO/INTERLAGOS - LOCAL, PTE. TRANSAMERICA
7,2018-04-16,1,Sé,Inativo Transitável,01:44,06:20,R. MAUA, UNICO - ESQUERDA, R. BRIG. TOBIAS
8,2018-05-19,1,Santana,Inativo Transitável,12:18,14:08,MARGINAL TIETE, A SENNA/CASTELO B - CENTRAL, PTE. DAS. BANDEIRAS SEN ROMEU TUMA
9,2018-05-19,1,Butantã,Inativo Transitável,12:13,09:45,AV. MAGALHAES DE CASTRO, CASTELO/INTERLAGOS - LOCAL, R. JOAPE
10,2018-05-31,1,Lapa,Inativo Transitável,09:57,10:24,AV. AURO SOARES DE MOURA ANDRADE, LAPA/B FUNDA, AL. OLGA
11,2018-05-31,1,Pinheiros,Inativo Transitável,09:14,09:45,PC. DAVID RAW, BAIRRO/CENTRO, AV. PACAEMBU
12,2018-06-13,1,Santo Amaro,Inativo Transitável,06:26,06:55,AV. WASHINGTON LUIS, CENTRO/BAIRRO - CORREDOR DE ÔNIBUS, ALTURA DO NÚMERO 228
13,2018-06-14,1,Sé,Inativo Transitável,07:31,07:50,AV. ENG. BILLINGS, CASTELO/INTERLAGOS, AV. ESCOLA POLITECNICA
