,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2018-01-02,1,Casa Verde,Inativo Transitável,14:36,20:42,PTE. LIMAO-ADHEMAR F. DA SILVA, SUMARE/LIMAO, ALTURA DO NÚMERO 1
1,2018-01-02,1,Pirituba/Jaraguá,Inativo Transitável,10:40,11:08,AV. RAIMUNDO PEREIRA DE MAGALHAES, BAIRRO/CENTRO, ALTURA DO NÚMERO 12853
2,2018-01-02,1,Sé,Inativo Transitável,15:39,21:16,AV. SANTOS DUMONT, AEROPORTO/SANTANA, ALTURA DO NÚMERO 596
3,2018-01-03,1,Vila Maria/ Vila Guilherme,Inativo Transitável,17:14,18:46,MARGINAL TIETÊ, CB/AS - PISTA CENTRAL, PTE JANIO QUADROS
4,2018-01-03,1,Sé,Inativo Transitável,16:35,18:46,AVENIDA DA 9 DE JULHO, AMBOS, AVENIDA BRASIL
5,2018-01-03,1,Sé,Inativo Transitável,16:35,17:07,PRAÇA DA BANDEIRA, AMBOS, PRAÇA DA BANDEIRA
6,2018-01-03,1,Mooca,Inativo Intransitável,16:42,17:27,AVENIDA CELSO GARCIA, FAIXA DE ÔNIBUS, RUA IVAÍ
7,2018-01-07,1,Santana,Inativo Transitável,08:04,13:31,AV. GAL. ATALIBA LEONEL, CENTRO/BAIRRO, ALTURA DO NÚMERO 656
8,2018-01-07,1,Santana,Inativo Transitável,13:04,14:18,MARGINAL TIETE, A SENNA/CASTELO B - CENTRAL, PTE CRUZEIRO DO SUL-JORN ARY SILVA
9,2018-01-07,1,Sé,Inativo Intransitável,12:40,13:09,MARGINAL TIETE, CASTELO B/A SENNA - CENTRAL, PTE. GOV. ORESTES QUERCIA
10,2018-01-07,1,Sé,Inativo Transitável,16:07,19:10,MARGINAL TIETE, CASTELO B/A SENNA - LOCAL, PTE PRES DUTRA
11,2018-01-07,1,Mooca,Inativo Transitável,14:33,18:18,:18AV. CELSO GARCIA, BAIRRO/CENTRO, ALTURA DO NÚMERO 1358
12,2018-01-07,1,Mooca,Inativo Transitável,15:12,15:44,AV. CELSO GARCIA, ÚNICO, R. GOMES CARDIM
13,2018-01-08,1,Santana,Inativo Transitável,08:37,10:06,R. MARIA CANDIDA, BAIRRO/CENTRO, ALTURA DO NÚMERO 1305
14,2018-01-08,1,Pinheiros,Inativo Transitável,13:17,17:32,AV. DAS NACOES UNIDAS, INTERLAGOS/CASTELO - LOCAL, PTE ENG ROBERTO ROSSI ZUCCOLO
15,2018-01-08,1,Mooca,Inativo Transitável,16:06,23:19,R. ORIENTE, UNICO, R. MARIA MARCOLINA
16,2018-01-08,1,Capela do Socorro,Inativo Transitável,15:43,15:50,AV. SEN. TEOTONIO VILELA, BAIRRO/CENTRO, R. PDE. JOSE GARZOTTI
17,2018-01-09,1,Casa Verde,Inativo Transitável,15:24,16:37,PTE. LIMAO-ADHEMAR F. DA SILVA, SUMARE/LIMAO, ALTURA DO NÚMERO 1
18,2018-01-10,1,Santo Amaro,Inativo Intransitável,16:55,18:00,AV. DAS NAÇÕES UNIDAS, AMBOS, SHOPPING SP MARKET
19,2018-01-10,1,Santo Amaro,Inativo Intransitável,17:30,18:00,AV. DAS NAÇÕES UNIDAS, AMBOS, R. JAIME DE OLIVEIRA SOUZA
20,2018-01-10,1,Santo Amaro,Inativo Intransitável,17:45,21:30,AV. SANTO AMARO, AMBOS, AV. ROQUE PETRONI JUNIOR ATÉ R. ANDRÉA PAULINETTI
21,2018-01-11,1,Freguesia do Ó,Inativo Intransitável,16:50,17:11,AVENIDA NSRA DO Ó, CENTRO/BAIRRO, RUA NELSON FRANCISCO
22,2018-01-11,1,Sé,Inativo Intransitável,16:50,17:11,PRAÇA DA BANDEIRA, SANTANA/AEROPORTO, AV. AVENIDA 23 DE MAIO
23,2018-01-11,1,Sé,Inativo Transitável,17:30,18:13,R. EDUARDO CHAVES, ÚNICO, R. PAULINO GUIMARÃES
