indexador,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31
68400,13.16,5.263999999999999,4.888,10.34,16.168,140.505,140.323,6.9559999999999995,8.084,8.836,3.76,153.306,4.7,141.643,2.444,152.761,10.716,152.371,0.0,150.205,6.3919999999999995,19.176,11.092,175.986,4.136,0.0,151.16,15.04,5.452,0.0
72000,17.108,7.332,12.596,5.827999999999999,25.38,143.274,140.425,7.52,13.536,9.024,2.444,151.242,6.016,139.831,5.076,153.88,17.86,155.502,0.0,146.03300000000002,2.6319999999999997,11.656,11.091999999999999,169.813,3.384,0.0,150.386,13.536,5.452,0.0
75600,12.972,6.016,7.144,6.3919999999999995,23.312,135.59199999999998,131.36,7.896,5.827999999999999,5.64,0.94,141.43200000000002,4.136,132.871,6.204,143.163,11.092,145.752,0.0,135.953,5.452,13.347999999999999,8.084,154.766,8.648,0.0,136.94,13.536,4.136,0.0
79200,7.707999999999999,4.136,4.7,6.768,13.536,130.0,125.037,4.136,3.008,3.008,0.5640000000000001,136.334,1.692,127.754,2.0679999999999996,135.639,6.768,135.57999999999998,0.0,128.288,3.572,12.219999999999999,9.776,140.817,5.076,0.0,130.394,11.844000000000001,4.888,0.0
82800,9.588000000000001,3.572,8.084,8.648,13.911999999999999,127.18,122.92,3.76,9.024,4.512,0.0,132.67000000000002,1.88,123.463,1.504,130.877,8.459999999999999,128.832,6.58,122.951,1.3159999999999998,12.783999999999999,3.1959999999999997,135.15800000000002,1.1280000000000001,0.0,124.624,9.024,6.58,0.0
86400,6.392,5.263999999999999,3.76,4.699999999999999,12.032,126.749,122.88,4.5120000000000005,3.384,6.768,0.564,130.44299999999998,1.692,121.138,2.256,127.19,7.52,125.096,7.896,121.842,0.376,8.272,4.512,132.771,2.256,0.188,122.729,8.648,3.008,0.0
90000,3.008,7.896,0.0,6.016,12.22,125.287,121.46000000000001,0.188,0.0,0.188,0.0,128.489,2.256,119.596,2.068,127.483,0.564,126.062,3.9479999999999995,122.255,0.0,5.64,8.648,131.42000000000002,0.752,0.0,121.529,14.852,0.0,0.0
93600,2.632,8.272,0.0,2.6319999999999997,5.64,125.388,120.675,0.376,0.0,0.0,0.0,127.16,0.0,117.26,0.0,124.743,0.0,123.878,0.0,121.62,0.0,6.3919999999999995,3.1959999999999997,129.064,0.752,0.0,120.74499999999999,3.572,0.752,0.0
97200,4.5120000000000005,10.152,0.0,3.1959999999999997,2.256,122.546,118.227,0.752,0.0,0.0,0.0,125.94200000000001,0.0,114.793,2.068,123.957,0.0,119.859,0.0,118.63,3.76,6.016,5.827999999999999,125.71000000000001,3.5719999999999996,0.752,119.114,6.016,0.0,0.0
100800,3.384,8.084,0.0,1.1280000000000001,3.572,121.147,115.488,0.752,0.0,0.376,0.0,123.616,1.6920000000000002,115.34700000000001,2.82,123.674,0.0,117.743,0.0,115.941,0.188,4.888,0.0,122.055,0.0,0.0,116.011,4.136,5.64,0.0
