Data evento,Horário Inicial,Horário Final,Data_Simul_Ini,Data_Simul_Fim,Simulação Início,Simulação Final,Tipo,datetime_inicio,datetime_fim,horas_simuladas,Pacote,Index Início,Index Final
2023-02-01,06:25:00,22:31:00,2023-02-01,2023-02-02,04:25:00,00:31:00,Detalhado,2023-02-01 04:25:00,2023-02-02 00:31:00,20.0,1,2692800,2768400
2023-02-02,08:50:00,21:35:00,2023-02-02,2023-02-02,06:50:00,23:35:00,Detalhado,2023-02-02 06:50:00,2023-02-02 23:35:00,17.0,2,2786400,2851200
2023-02-03,00:00:00,23:59:59,2023-02-03,2023-02-03,00:00:00,23:59:59,Inteiro,2023-02-03 00:00:00,2023-02-03 23:59:59,24.0,3,2851200,2937600
2023-02-04,00:00:00,23:59:59,2023-02-04,2023-02-04,00:00:00,23:59:59,Inteiro,2023-02-04 00:00:00,2023-02-04 23:59:59,24.0,4,2937600,3024000
2023-02-05,00:00:00,23:59:59,2023-02-05,2023-02-05,00:00:00,23:59:59,Inteiro,2023-02-05 00:00:00,2023-02-05 23:59:59,24.0,5,3024000,3110400
2023-02-06,13:41:00,22:32:00,2023-02-06,2023-02-07,11:41:00,00:32:00,Detalhado,2023-02-06 11:41:00,2023-02-07 00:32:00,13.0,6,3150000,3200400
2023-02-07,13:32:00,22:36:00,2023-02-07,2023-02-08,11:32:00,00:36:00,Detalhado,2023-02-07 11:32:00,2023-02-08 00:36:00,13.0,7,3236400,3286800
2023-02-08,00:00:00,23:59:59,2023-02-08,2023-02-08,00:00:00,23:59:59,Inteiro,2023-02-08 00:00:00,2023-02-08 23:59:59,24.0,8,3283200,3369600
2023-02-09,00:00:00,23:59:59,2023-02-09,2023-02-09,00:00:00,23:59:59,Inteiro,2023-02-09 00:00:00,2023-02-09 23:59:59,24.0,9,3369600,3456000
2023-02-10,00:00:00,23:59:59,2023-02-10,2023-02-10,00:00:00,23:59:59,Inteiro,2023-02-10 00:00:00,2023-02-10 23:59:59,24.0,10,3456000,3542400
2023-02-11,00:00:00,23:59:59,2023-02-11,2023-02-11,00:00:00,23:59:59,Inteiro,2023-02-11 00:00:00,2023-02-11 23:59:59,24.0,11,3542400,3628800
2023-02-12,15:41:00,18:40:00,2023-02-12,2023-02-12,13:41:00,20:40:00,Detalhado,2023-02-12 13:41:00,2023-02-12 20:40:00,7.0,12,3675600,3704400
2023-02-13,19:20:00,21:13:00,2023-02-13,2023-02-13,17:20:00,23:13:00,Detalhado,2023-02-13 17:20:00,2023-02-13 23:13:00,6.0,13,3776400,3801600
2023-02-14,00:00:00,23:59:59,2023-02-14,2023-02-14,00:00:00,23:59:59,Inteiro,2023-02-14 00:00:00,2023-02-14 23:59:59,24.0,14,3801600,3888000
2023-02-15,10:38:00,17:13:00,2023-02-15,2023-02-15,08:38:00,19:13:00,Detalhado,2023-02-15 08:38:00,2023-02-15 19:13:00,11.0,15,3916800,3960000
2023-02-16,21:03:00,23:40:00,2023-02-16,2023-02-17,19:03:00,01:40:00,Detalhado,2023-02-16 19:03:00,2023-02-17 01:40:00,7.0,16,4042800,4068000
2023-02-17,03:12:00,09:16:00,2023-02-17,2023-02-17,01:12:00,11:16:00,Detalhado,2023-02-17 01:12:00,2023-02-17 11:16:00,10.0,17,4064400,4104000
2023-02-18,02:29:00,22:59:00,2023-02-18,2023-02-19,00:29:00,00:59:00,Detalhado,2023-02-18 00:29:00,2023-02-19 00:59:00,24.0,18,4147200,4237200
2023-02-19,05:31:00,16:12:00,2023-02-19,2023-02-19,03:31:00,18:12:00,Detalhado,2023-02-19 03:31:00,2023-02-19 18:12:00,15.0,19,4244400,4302000
2023-02-20,17:10:00,22:18:00,2023-02-20,2023-02-21,15:10:00,00:18:00,Detalhado,2023-02-20 15:10:00,2023-02-21 00:18:00,9.0,20,4374000,4410000
2023-02-21,01:57:00,22:28:00,2023-02-20,2023-02-22,23:57:00,00:28:00,Detalhado,2023-02-20 23:57:00,2023-02-22 00:28:00,25.0,21,4402800,4496400
2023-02-22,08:46:00,16:00:00,2023-02-22,2023-02-22,06:46:00,18:00:00,Detalhado,2023-02-22 06:46:00,2023-02-22 18:00:00,11.0,22,4514400,4557600
2023-02-23,14:02:00,21:51:00,2023-02-23,2023-02-23,12:02:00,23:51:00,Detalhado,2023-02-23 12:02:00,2023-02-23 23:51:00,12.0,23,4622400,4665600
2023-02-24,05:21:00,20:40:00,2023-02-24,2023-02-24,03:21:00,22:40:00,Detalhado,2023-02-24 03:21:00,2023-02-24 22:40:00,19.0,24,4676400,4748400
2023-02-25,00:00:00,23:59:59,2023-02-25,2023-02-25,00:00:00,23:59:59,Inteiro,2023-02-25 00:00:00,2023-02-25 23:59:59,24.0,25,4752000,4838400
2023-02-26,00:00:00,23:59:59,2023-02-26,2023-02-26,00:00:00,23:59:59,Inteiro,2023-02-26 00:00:00,2023-02-26 23:59:59,24.0,26,4838400,4924800
2023-02-27,00:00:00,23:59:59,2023-02-27,2023-02-27,00:00:00,23:59:59,Inteiro,2023-02-27 00:00:00,2023-02-27 23:59:59,24.0,27,4924800,5011200
2023-02-28,14:15:00,19:00:00,2023-02-28,2023-02-28,12:15:00,21:00:00,Detalhado,2023-02-28 12:15:00,2023-02-28 21:00:00,9.0,28,5054400,5086800
2023-03-10,13:14:00,17:30:00,2023-03-10,2023-03-10,11:14:00,19:30:00,Detalhado,2023-03-10 11:14:00,2023-03-10 19:30:00,8.0,29,5914800,5947200
2023-03-01,00:00:00,23:59:59,2023-03-01,2023-03-01,00:00:00,23:59:59,Inteiro,2023-03-01 00:00:00,2023-03-01 23:59:59,24.0,30,5097600,5184000
2023-03-02,00:00:00,23:59:59,2023-03-02,2023-03-02,00:00:00,23:59:59,Inteiro,2023-03-02 00:00:00,2023-03-02 23:59:59,24.0,31,5184000,5270400
2023-03-03,17:00:00,19:45:00,2023-03-03,2023-03-03,15:00:00,21:45:00,Detalhado,2023-03-03 15:00:00,2023-03-03 21:45:00,7.0,32,5324400,5349600
2023-03-06,00:00:00,23:59:59,2023-03-06,2023-03-06,00:00:00,23:59:59,Inteiro,2023-03-06 00:00:00,2023-03-06 23:59:59,24.0,33,5529600,5616000
2023-03-07,00:00:00,23:59:59,2023-03-07,2023-03-07,00:00:00,23:59:59,Inteiro,2023-03-07 00:00:00,2023-03-07 23:59:59,24.0,34,5616000,5702400
2023-03-08,16:34:00,20:53:00,2023-03-08,2023-03-08,14:34:00,22:53:00,Detalhado,2023-03-08 14:34:00,2023-03-08 22:53:00,8.0,35,5752800,5785200
2023-03-09,14:34:00,19:50:00,2023-03-09,2023-03-09,12:34:00,21:50:00,Detalhado,2023-03-09 12:34:00,2023-03-09 21:50:00,9.0,36,5832000,5868000
2023-01-03,16:20:00,22:32:00,2023-01-03,2023-01-04,14:20:00,00:32:00,Detalhado,2023-01-03 14:20:00,2023-01-04 00:32:00,10.0,37,223200,262800
2023-01-04,16:30:00,21:32:00,2023-01-04,2023-01-04,14:30:00,23:32:00,Detalhado,2023-01-04 14:30:00,2023-01-04 23:32:00,9.0,38,309600,345600
2023-01-05,06:01:00,19:42:00,2023-01-05,2023-01-05,04:01:00,21:42:00,Detalhado,2023-01-05 04:01:00,2023-01-05 21:42:00,18.0,39,360000,424800
2023-01-06,15:26:00,15:30:00,2023-01-06,2023-01-06,13:26:00,17:30:00,Detalhado,2023-01-06 13:26:00,2023-01-06 17:30:00,4.0,40,478800,496800
2023-01-09,00:00:00,23:59:59,2023-01-09,2023-01-09,00:00:00,23:59:59,Inteiro,2023-01-09 00:00:00,2023-01-09 23:59:59,24.0,41,691200,777600
2023-01-10,15:35:00,18:28:00,2023-01-10,2023-01-10,13:35:00,20:28:00,Detalhado,2023-01-10 13:35:00,2023-01-10 20:28:00,7.0,42,824400,853200
2023-01-11,22:27:00,22:57:00,2023-01-11,2023-01-12,20:27:00,00:57:00,Detalhado,2023-01-11 20:27:00,2023-01-12 00:57:00,4.0,43,936000,954000
2023-01-15,17:11:00,20:36:00,2023-01-15,2023-01-15,15:11:00,22:36:00,Detalhado,2023-01-15 15:11:00,2023-01-15 22:36:00,7.0,44,1263600,1292400
2023-01-16,06:46:00,19:30:00,2023-01-16,2023-01-16,04:46:00,21:30:00,Detalhado,2023-01-16 04:46:00,2023-01-16 21:30:00,17.0,45,1310400,1375200
2023-01-17,17:19:00,18:08:00,2023-01-17,2023-01-17,15:19:00,20:08:00,Detalhado,2023-01-17 15:19:00,2023-01-17 20:08:00,5.0,46,1436400,1458000
2023-01-19,19:52:00,20:08:00,2023-01-19,2023-01-19,17:52:00,22:08:00,Detalhado,2023-01-19 17:52:00,2023-01-19 22:08:00,4.0,47,1616400,1638000
2023-01-23,14:04:00,16:38:00,2023-01-23,2023-01-23,12:04:00,18:38:00,Detalhado,2023-01-23 12:04:00,2023-01-23 18:38:00,7.0,48,1944000,1969200
2023-01-24,17:15:00,18:31:00,2023-01-24,2023-01-24,15:15:00,20:31:00,Detalhado,2023-01-24 15:15:00,2023-01-24 20:31:00,5.0,49,2041200,2062800
