Data,Arquivo,Hora do dia,Tempo médio ponderado com chuva (min),Status de processamento,Width,Height,Bandas,CRS,Estatística Descritiva,Média,Mediana,Desvio Padrão,Valor Mínimo (m),Valor Máximo (m),Percentil 25,Percentil 50,Percentil 75
11/04/2013,h_26564400.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26550000.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26589600.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26604000.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26524800.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26568000.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26539200.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26546400.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26593200.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26600400.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26596800.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26535600.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26586000.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26575200.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26553600.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26560800.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26532000.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26607600.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26542800.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26528400.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26578800.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26582400.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26557200.tif,,,,,,,,,,,,,,,,
11/04/2013,h_26571600.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1591200.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1638000.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1602000.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1594800.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1634400.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1562400.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1620000.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1587600.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1566000.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1616400.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1580400.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1555200.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1627200.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1576800.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1573200.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1630800.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1609200.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1623600.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1558800.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1584000.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1598400.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1569600.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1612800.tif,,,,,,,,,,,,,,,,
19/01/2013,h_1605600.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28195200.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28180800.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28206000.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28220400.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28166400.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28238400.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28224000.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28198800.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28202400.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28191600.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28245600.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28249200.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28170000.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28184400.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28231200.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28209600.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28177200.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28188000.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28242000.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28234800.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28213200.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28227600.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28173600.tif,,,,,,,,,,,,,,,,
23/11/2013,h_28216800.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1242000.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1234800.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1278000.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1231200.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1209600.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1274400.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1285200.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1260000.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1216800.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1281600.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1256400.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1288800.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1213200.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1227600.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1267200.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1270800.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1220400.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1249200.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1263600.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1245600.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1292400.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1252800.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1224000.tif,,,,,,,,,,,,,,,,
15/01/2013,h_1238400.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26784000.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26798400.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26830800.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26856000.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26827200.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26812800.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26805600.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26823600.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26809200.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26852400.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26834400.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26787600.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26863200.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26859600.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26845200.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26838000.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26866800.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26802000.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26816400.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26791200.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26848800.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26820000.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26794800.tif,,,,,,,,,,,,,,,,
11/07/2013,h_26841600.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24868800.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24861600.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24847200.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24836400.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24800400.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24850800.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24843600.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24865200.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24879600.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24796800.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24822000.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24818400.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24804000.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24829200.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24858000.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24872400.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24814800.tif,,,,,,,,,,,,,,,,
15/10/2013,h_24832800.tif,,,,,,,,,,,,,,,,
