,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2020-01-01,1,Casa Verde,Inativo Transitável,20:05,20:38,MARGINAL TIETÊ - EXPRESSA, AS/CB, PTE DA CASA VERDE
1,2020-01-01,1,Vila Maria/ Vila Guilherme,Inativo Transitável,19:29,19:57,MARGINAL TIETE - EXPRESSA, AS/CB, PTE DA VILA GUILHERME
2,2020-01-01,1,Vila Maria/ Vila Guilherme,Inativo Transitável,19:32,19:58,AV MORVAN DIAS DE FIGUEIREDO, AS/CB, PTE DA VILA GUILHERME
3,2020-01-01,1,Santana,Inativo Transitável,19:47,21:00,R CEL ANTONIO DE CARVALHO, UNICO, R URUPIARA
4,2020-01-01,1,Santana,Inativo Transitável,19:49,22:48,AV CRUZEIRO DO SUL, IP/ST, AV ZAKI NARCHI
5,2020-01-01,1,Sé,Inativo Intransitável,19:21,20:15,AV 23 DE MAIO, SANTANA/AEROPORTO, PQ ANHAGABAÚ
6,2020-01-01,1,Sé,Inativo Intransitável,19:27,19:56,AV PRES CASTELO BRANCO - LOCAL, CB/AS, PTE DA BANDEIRAS
7,2020-01-01,1,Sé,Inativo Transitável,19:28,22:55,AV DO ESTADO, AMBOS, RUA MAUÁ
8,2020-01-01,1,Sé,Inativo Transitável,19:29,23:49,AV DUQUE DE CAXIAS, BAIRRO/CENTRO, PC JULIO PRESTES
9,2020-01-01,1,Sé,Inativo Transitável,20:05,22:55,AV MERCURIO, UNICO, R DA CANTAREIRA
10,2020-01-01,1,Mooca,Inativo Transitável,19:24,20:48,AV ALCÂNTARA MACHADO, CENTRO/BAIRRO, VD GUADALAJARA
11,2020-01-01,1,Mooca,Inativo Transitável,19:36,20:47,AV RANGEL PESTANA, CENTRO/BAIRRO, R BRIGADEIRO MACHADO
12,2020-01-01,1,Mooca,Inativo Transitável,19:36,23:00,MARGINAL TIETÊ - EXPRESSA, CB/AS, PTE PRESIDENTE DUTRA
13,2020-01-01,1,Mooca,Inativo Transitável,19:49,20:48,AV ALCANTARA MACHADO - EXPRESSA, BAIRRO/CENTRO, VD GUADALAJARA
14,2020-01-01,1,Mooca,Inativo Transitável,19:53,20:48,AV RANGEL PESTANA, BAIRRO/CENTRO, R BRIG MACHADO
15,2020-01-02,1,Jaçanã/ Tremembé,Inativo Intransitável,17:55,21:00,R. ANTONELO DA MESSINA, ÚNICO, R. BOAVENTURA COLETI
16,2020-01-02,1,Perus,Inativo Intransitável,17:50,21:00,R. BEM TE VI, ÚNICO, ALTURA DO 232
17,2020-01-02,1,Perus,Inativo Intransitável,17:55,21:00,R. BERNARDO JOSÉ DE LORENA, ÚNICO, R. FRANCIS CASTELNAU
