,Unnamed: 0,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
757,757,2023-10-12,1,Santo Amaro,Inativo Transitável,19:30:00,19:56:00,AV STO AMARO, CENTRO/BAIRRO, AV ROQUE PETRONI JUNIOR
758,758,2023-10-16,1,Santana,Inativo Transitável,23:27:00,00:15:00,AV VINTE E TRES DE MAIO, SANTANA/AEROPORTO, AC A AV VINTE E TRES DE MAIO
759,759,2023-10-16,1,Itaquera,Inativo Transitável,21:52:00,22:15:00,R VICTORIO SANTIM, UNICO, R ITALINA
760,760,2023-10-17,1,Sé,Inativo Transitável,02:15:00,02:49:00,AV SANTOS DUMONT, AEROPORTO/SANTANA, R GUAPORE
761,761,2023-10-17,1,Sé,Inativo Intransitável,03:25:00,03:31:00,AV DO ESTADO, SANTANA/IPIRANGA, R S CAETANO (BOM RETIRO)
762,762,2023-10-17,1,Sé,Inativo Intransitável,04:59:00,05:10:00,AV DO ESTADO, SANTANA/IPIRANGA, R S CAETANO (BOM RETIRO)
763,763,2023-10-17,1,Sé,Inativo Transitável,05:46:00,12:30:00,CV EVARISTO COMOLATTI, CENTRO/BAIRRO, VD DO GLICERIO
764,764,2023-10-17,1,Sé,Inativo Transitável,05:49:00,09:35:00,AV SANTOS DUMONT, AEROPORTO/SANTANA, R GUAPORE
765,765,2023-10-17,1,Sé,Inativo Transitável,06:22:00,06:48:00,VEL PRES JOAO GOULART, PENHA/LAPA, AV PACAEMBU
766,766,2023-10-17,1,Sé,Inativo Transitável,06:58:00,07:19:00,AV SEN QUEIROS, UNICO, AV DO ESTADO
767,767,2023-10-17,1,Lapa,Inativo Transitável,03:58:00,04:40:00,R CAP FRANCISCO TEIXEIRA NOGUEIRA, BAIRRO/CENTRO, R ADO BENATTI
768,768,2023-10-27,1,Sé,Inativo Intransitável,18:13:00,18:53:00,R GLICERIO, AMBOS, R S PAULO
769,769,2023-10-27,1,Pinheiros,Inativo Intransitável,18:19:00,22:51:00,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO, R OLIVIA FEDER
770,770,2023-10-27,1,Vila Mariana,Inativo Intransitável,17:59:00,18:43:00,AV IBIRAPUERA, BAIRRO/CENTRO, AV LAVANDISCA
771,771,2023-10-29,1,Santana,Inativo Transitável,22:42:00,23:07:00,MARGINAL TIETE, A SENNA/CASTELO B - CENTRAL, PTE CRUZEIRO DO SUL-JORN ARY SILVA
772,772,2023-10-29,1,Sé,Inativo Transitável,16:22:00,17:54:00,PTE DO RIO TAMANDUATEI, IPIRANGA/SANTANA, R S CAETANO (BOM RETIRO)
773,773,2023-10-29,1,Sé,Inativo Transitável,16:31:00,19:59:00,AV CRUZEIRO DO SUL, IPIRANGA/SANTANA, AV PROJETADA
774,774,2023-10-29,1,Pinheiros,Inativo Intransitável,16:53:00,19:42:00,R ESTADOS UNIDOS, UNICO, R BELA CINTRA
775,775,2023-10-31,1,Sé,Inativo Transitável,16:15:00,18:40:00,AV. CRUZEIRO DO SUL, BAIRRO/CENTRO, R. GUAPORE
776,776,2023-10-31,1,Sé,Inativo Transitável,16:30:00,21:32:00,R SALESOPOLIS, CENTRO/BAIRRO, R DORACI
