,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2024-10-11,1,Casa Verde,Inativo Transitável,20:07,22:03,R CORREIA DE SA, AMBOS, AV NSRA.DO O
1,2024-10-11,1,Sé,Inativo Transitável,06:28,14:52,R CARLOS GARCIA, UNICO, R STA ROSA (BRAS)
2,2024-10-11,1,Sé,Inativo Transitável,08:44,14:52,R CRUZEIRO (SANTA CECILIA), CENTRO/BAIRRO, R DOS AMERICANOS
3,2024-10-11,1,Butantã,Inativo Intransitável,20:09,22:03,AV PROF FRANCISCO MORATO, NAO INFORMADO, R MIN EDMUNDO LINS
4,2024-10-11,1,Lapa,Inativo Intransitável,06:06,06:11,AV TORRES DE OLIVEIRA, LAPA/JAGUARE, AV ONOFRIO MILANO
5,2024-10-11,1,Itaquera,Ativo Intransitável,20:12,N/A,a AV JACU PESSEGO N TRABALHADORES, A SENNA/MAUA, VD ANTONIO SANCHEZ DE L. JUNIOR
