,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2023-04-14,1,Pirituba/Jaraguá,Inativo Intransitável,09:04,10:04,a 10:04AV RAIMUNDO PEREIRA DE MAGALHAES, AMBOS, AV DEP CANTIDIO SAMPAIO
1,2023-04-14,1,Pirituba/Jaraguá,Inativo Transitável,09:14,10:04,AV RAIMUNDO PEREIRA DE MAGALHAES, CENTRO/BAIRRO, R MARIA DA CRUZ CUNHA
2,2023-04-14,1,Sé,Inativo Transitável,09:17,10:32,VEL PRES JOAO GOULART, AMBOS, AV PACAEMBU
3,2023-04-14,1,Lapa,Inativo Intransitável,09:03,19:34,R VLADIMIR HERZOG, AMBOS, R CARLOS SPERA
4,2023-04-14,1,Pinheiros,Inativo Transitável,09:57,10:17,R ESTADOS UNIDOS, UNICO, R AUGUSTA
5,2023-04-14,1,Itaquera,Inativo Intransitável,09:15,10:01,AV ITAQUERA, AMBOS, R CAMPINAS DO PIAUI
6,2023-04-14,1,Mooca,Inativo Transitável,09:24,10:05,AV CELSO GARCIA, AMBOS, R JOSE DE ALENCAR (BRAS)
7,2023-04-14,1,Mooca,Inativo Transitável,09:48,10:02,MARGINAL TIETE, CASTELO B/A SENNA, PTE PRES JANIO QUADROS
8,2023-04-14,1,Mooca,Inativo Intransitável,10:09,11:37,AV CELSO GARCIA, CENTRO/BAIRRO, R RUBINO DE OLIVEIRA
9,2023-04-18,1,Casa Verde,Inativo Intransitável,10:03,11:38,R BARTHOLOMEU DO CANTO, UNICO, AV NSRA.DO O
10,2023-04-18,1,Casa Verde,Inativo Intransitável,10:57,11:42,AV ORDEM E PROGRESSO, AMBOS, R SAMARITA
11,2023-04-18,1,Freguesia do Ó,Inativo Intransitável,09:53,10:17,AV GAL EDGAR FACO, BAIRRO/CENTRO, AV PAULA FERREIRA
12,2023-04-18,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,10:11,11:27,R CEL MARQUES RIBEIRO, AMBOS, ENTRE RUA GALATEA E R JOSE BERNARDO PINTO
13,2023-04-18,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,10:20,10:29,AV GUILHERME, UNICO, R CHICO PONTES
14,2023-04-18,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,10:37,11:38,AV EDU CHAVES, AMBOS, R ALTO PARAGUAI
15,2023-04-18,1,Vila Maria/ Vila Guilherme,Inativo Intransitável,11:14,12:05,MARGINAL TIETE, A SENNA/CASTELO B - EXPRESSA, AV EDUCADOR PAULO FREIRE
16,2023-04-18,1,Pirituba/Jaraguá,Inativo Intransitável,09:20,10:27,PSS FANDI CHAQUIB KALIL, UNICO, AV ELISIO CORDEIRO DE SIQUEIRA
17,2023-04-18,1,Pirituba/Jaraguá,Inativo Transitável,10:40,10:55,ES DE LIGAÇÃO, AMBOS, R UM
18,2023-04-18,1,Pirituba/Jaraguá,Inativo Transitável,11:35,12:01,AV RAIMUNDO PEREIRA DE MAGALHAES, CENTRO/BAIRRO, R MARIA DA CRUZ CUNHA
19,2023-04-18,1,Santana,Inativo Intransitável,09:52,10:18,AV GAL ATALIBA LEONEL, BAIRRO/CENTRO, AV CRUZEIRO DO SUL
20,2023-04-18,1,Sé,Inativo Intransitável,09:35,10:03,R MANOEL DUTRA, BAIRRO/CENTRO, PC QUATORZE BIS
21,2023-04-18,1,Sé,Inativo Transitável,09:38,10:18,R BRIG TOBIAS, UNICO, R MAUA
22,2023-04-18,1,Sé,Inativo Intransitável,09:51,10:07,PQ ANHANGABAU, AMBOS, VD DR MANUEL JOSE CHAVES
23,2023-04-18,1,Sé,Inativo Intransitável,10:12,10:24,AV MERCURIO, UNICO, PC S VITO
24,2023-04-18,1,Sé,Inativo Intransitável,10:27,10:31,CV EVARISTO COMOLATTI, CENTRO/BAIRRO, ALTURA DO N. 110
25,2023-04-18,1,Sé,Inativo Transitável,14:57,16:55,AV MERCURIO, UNICO, R DA CANTAREIRA
26,2023-04-18,1,Butantã,Inativo Intransitável,09:15,10:11,TV IRMA DOLORES BALDI, BAIRRO/CENTRO, R DR CARVALHO ARANHA
27,2023-04-18,1,Butantã,Inativo Transitável,09:54,10:00,AV VITAL BRASIL, BAIRRO/CENTRO, R CAMARGO
28,2023-04-18,1,Butantã,Inativo Intransitável,16:47,18:06,AV PROF FRANCISCO MORATO, BAIRRO/CENTRO, PC PAULA MOREIRA
